"datazone","HO.allhouseholds","HO.council","HO.employ","HO.other","HO.ownmortloan","HO.ownoutright","HO.percown","HO.percpriv","HO.percsocial","HO.privlet","HO.relative","HO.sharedown","HO.social","year"
"S01000331",275,89,1,1,81,91,62.91,4,33.09,5,4,1,2,2001
"S01000332",293,3,3,2,124,139,89.76,9.22,1.02,18,4,0,0,2001
"S01000333",308,7,5,1,133,93,73.7,22.73,3.57,59,5,1,4,2001
"S01000334",386,102,2,2,141,81,60.1,7.25,32.64,21,3,10,24,2001
"S01000335",276,51,0,0,89,78,68.48,1.81,29.71,5,0,22,31,2001
"S01000336",319,4,1,2,121,111,72.73,25.71,1.57,74,5,0,1,2001
"S01000337",280,11,10,2,78,108,66.43,28.93,4.64,58,11,0,2,2001
"S01000338",191,15,5,2,48,53,52.88,38.74,8.38,65,2,0,1,2001
"S01000339",419,52,3,1,178,153,79.24,5.49,15.27,14,5,1,12,2001
"S01000340",382,18,21,5,116,94,54.97,35.86,9.16,108,3,0,17,2001
"S01000341",282,4,18,2,76,80,55.32,40.07,4.61,85,8,0,9,2001
"S01000342",255,73,2,1,54,78,51.76,10.59,37.65,19,5,0,23,2001
"S01000343",222,2,9,1,84,69,68.92,30.18,0.9,54,3,0,0,2001
"S01000344",340,39,4,0,141,119,77.06,8.82,14.12,20,6,2,9,2001
"S01000345",248,5,1,0,145,74,88.71,4.44,6.85,5,5,1,12,2001
"S01000346",266,3,0,0,161,89,97.37,1.13,1.5,2,1,9,1,2001
"S01000347",191,25,6,1,68,34,53.4,32.98,13.61,54,2,0,1,2001
"S01000348",322,3,1,0,213,96,95.96,2.8,1.24,6,2,0,1,2001
"S01000349",263,55,1,0,147,54,76.43,2.66,20.91,4,2,0,0,2001
"S01000350",355,24,0,1,252,73,91.55,1.69,6.76,3,2,0,0,2001
"S01000351",364,2,2,1,245,102,95.33,3.3,1.37,7,2,0,3,2001
"S01000352",300,1,0,0,182,112,98,1.67,0.33,3,2,0,0,2001
"S01000353",248,4,1,0,174,60,94.35,4.03,1.61,7,2,0,0,2001
"S01000354",188,1,9,3,74,53,67.55,31.91,0.53,43,5,0,0,2001
"S01000355",238,0,2,1,158,71,96.22,3.78,0,5,1,0,0,2001
"S01000356",222,3,0,0,94,87,81.53,17.12,1.35,36,2,0,0,2001
"S01000357",220,0,1,0,187,30,98.64,1.36,0,1,1,0,0,2001
"S01000358",351,2,0,1,243,98,97.44,1.99,0.57,4,2,1,0,2001
"S01000359",249,2,0,0,184,58,97.19,2.01,0.8,4,1,0,0,2001
"S01000360",226,24,18,3,33,67,44.25,44.25,11.5,71,8,0,2,2001
"S01000361",235,6,26,4,80,53,57.02,40,2.98,63,1,1,1,2001
"S01000362",346,27,10,3,188,98,82.95,8.96,8.09,16,2,1,1,2001
"S01000363",350,6,18,4,156,111,76.29,21.71,2,45,9,0,1,2001
"S01000364",332,5,9,5,136,115,75.6,22.89,1.51,54,8,0,0,2001
"S01000365",254,42,0,1,154,49,79.92,3.54,16.54,7,1,0,0,2001
"S01000366",286,15,10,1,145,100,86.01,8.74,5.24,12,2,1,0,2001
"S01000367",297,26,4,0,118,128,82.83,8.08,9.09,17,3,0,1,2001
"S01000368",341,44,1,4,136,100,70.67,7.62,21.7,17,4,5,30,2001
"S01000369",391,35,7,1,180,122,77.24,13.3,9.46,39,5,0,2,2001
"S01000370",292,4,1,0,193,85,95.21,3.42,1.37,6,3,0,0,2001
"S01000371",418,119,1,0,135,139,66.03,5.5,28.47,15,7,2,0,2001
