"datazone","HO.allhouseholds","HO.council","HO.employ","HO.other","HO.ownmortloan","HO.ownoutright","HO.percown","HO.percpriv","HO.percsocial","HO.privlet","HO.relative","HO.sharedown","HO.social","year"
"S01000104",321,1,3,3,108,175,88.16,10.9,0.93,25,4,0,2,2001
"S01000105",378,3,1,1,194,159,93.39,5.82,0.79,12,8,0,0,2001
"S01000106",278,2,4,1,127,99,81.29,17.99,0.72,44,1,0,0,2001
"S01000107",546,97,2,1,222,31,47.44,31.32,21.25,157,11,6,19,2001
"S01000108",362,101,1,1,88,68,43.09,19.06,37.85,58,9,0,36,2001
"S01000109",563,112,6,2,153,59,37.83,27.89,34.28,131,18,1,81,2001
"S01000110",401,54,1,1,101,153,63.59,4.24,32.17,12,3,1,75,2001
"S01000111",369,5,4,1,159,126,77.78,20.33,1.9,63,7,2,2,2001
"S01000112",561,132,0,1,173,77,46.88,18.18,34.94,91,10,13,64,2001
"S01000113",238,1,1,1,109,81,79.83,14.29,5.88,25,7,0,13,2001
"S01000114",305,138,0,0,101,33,44.26,2.62,53.11,7,1,1,24,2001
"S01000115",412,234,1,0,110,58,40.78,2.18,57.04,4,4,0,1,2001
"S01000116",613,21,0,3,333,95,70.15,26.26,3.59,139,19,2,1,2001
"S01000117",424,2,3,3,195,155,82.55,7.55,9.91,17,9,0,40,2001
"S01000118",300,91,2,3,88,97,61.67,5.33,33,7,4,0,8,2001
"S01000119",527,192,1,2,167,48,41.94,17.84,40.23,83,8,6,20,2001
"S01000120",316,18,2,0,139,58,62.34,25.63,12.03,67,12,0,20,2001
"S01000121",346,57,1,3,113,123,68.5,3.47,28.03,8,0,1,40,2001
"S01000122",345,181,0,1,84,23,31.01,1.74,67.25,3,2,0,51,2001
"S01000123",252,18,1,2,133,83,85.71,7.14,7.14,13,2,0,0,2001
"S01000124",590,79,1,17,225,66,53.39,24.75,21.86,106,22,24,50,2001
"S01000125",497,227,3,49,47,48,22.54,26.16,51.31,71,7,17,28,2001
"S01000126",569,200,0,0,138,60,35.5,17.22,47.28,83,15,4,69,2001
"S01000127",320,3,0,1,163,140,94.69,4.38,0.94,11,2,0,0,2001
"S01000128",599,84,2,2,189,39,41.57,28.38,30.05,142,24,21,96,2001
"S01000129",277,2,2,19,98,16,49.82,48.38,1.81,93,20,24,3,2001
"S01000130",536,154,2,1,170,73,46.08,20.9,33.02,94,15,4,23,2001
"S01000131",352,3,2,1,162,115,78.69,20.45,0.85,58,11,0,0,2001
"S01000132",432,13,1,0,222,103,75.69,19.68,4.63,79,5,2,7,2001
"S01000133",301,112,0,0,111,43,51.83,2.33,45.85,7,0,2,26,2001
"S01000134",331,215,1,1,73,37,33.23,1.51,65.26,1,2,0,1,2001
"S01000135",421,310,0,0,40,27,16.15,4.99,78.86,15,6,1,22,2001
"S01000136",307,105,1,0,85,40,41.04,4.56,54.4,7,6,1,62,2001
"S01000137",457,26,0,0,187,62,54.7,26.26,19.04,98,22,1,61,2001
"S01000138",494,95,0,1,164,48,46.36,26.52,27.13,106,24,17,39,2001
"S01000139",369,191,1,0,102,65,46.07,1.08,52.85,1,2,3,4,2001
