General Register Office for Scotland 2001 Census of Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migration by Qualifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All people in households aged 25 to 74,All people in households aged 25 to 74,All people in households aged 25 to 74,All people in households aged 25 to 74,No quals/ Level 1/ Other,No quals/ Level 1/ Other,No quals/ Level 1/ Other,No quals/ Level 1/ Other,Level 2 or 3,Level 2 or 3,Level 2 or 3,Level 2 or 3,Level 4 or 5,Level 4 or 5,Level 4 or 5,Level 4 or 5,Outflow (moved out of area but within Scotland) All people in households aged 25 to 74,Outflow (moved out of area but within Scotland) No quals/ Level 1/ Other,Outflow (moved out of area but within Scotland) Level 2 or 3,Outflow (moved out of area but within Scotland) Level 4 or 5,Outflow - Moved out of Scotland to E & W  All people in households aged 25 to 74,Outflow - Moved out of Scotland to E & W No quals/Level 1/Other,Outflow - Moved out of Scotland to E & W Level 2 or 3,Outflow - Moved out of Scotland to E & W Level 4 or 5,Outflow - Moved out of Scotland to NI All people in households aged 25 to 74,Outflow - Moved out of Scotland to NI No quals/Level 1/Other,Outflow - MOved out of Scotland to NI Level 2 or 3,Outflow - Moved out of Scotland to NI Level 4 or 5
,Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),,,,,,,,,,,,
S01001828,444,1,15,1,128,-,1,1,107,-,3,-,209,1,11,-,21,3,6,12,3,-,-,3,-,-,-,-
S01001829,367,4,42,2,114,3,8,-,87,1,8,1,166,-,26,1,20,2,9,9,3,-,-,3,-,-,-,-
S01001830,516,-,25,6,164,-,4,-,111,-,8,1,241,-,13,5,33,7,10,16,8,3,-,5,4,-,-,4
S01001831,460,-,21,2,331,-,16,1,87,-,2,-,42,-,3,1,15,8,2,5,-,-,-,-,-,-,-,-
S01001832,405,1,21,-,328,1,15,-,48,-,4,-,29,-,2,-,28,20,7,1,7,4,-,3,-,-,-,-
S01001833,590,1,43,1,166,-,7,-,115,-,10,-,309,1,26,1,49,10,10,29,14,-,5,9,-,-,-,-
S01001834,370,-,25,-,283,-,18,-,58,-,3,-,29,-,4,-,17,11,2,4,-,-,-,-,-,-,-,-
S01001835,345,4,39,27,137,3,13,11,66,-,6,1,142,1,20,15,39,12,10,17,28,4,9,15,14,4,7,3
S01001836,425,1,26,-,195,-,6,-,78,1,7,-,152,-,13,-,34,7,6,21,3,-,-,3,-,-,-,-
S01001837,521,7,37,4,148,-,7,-,93,-,10,1,280,7,20,3,30,4,6,20,7,-,-,7,-,-,-,-
S01001838,338,-,19,-,256,-,6,-,45,-,9,-,37,-,4,-,15,10,2,3,3,3,-,-,-,-,-,-
S01001839,503,4,39,1,392,4,28,-,59,-,6,1,52,-,5,-,39,22,5,12,-,-,-,-,-,-,-,-
S01001840,460,-,29,3,187,-,2,1,118,-,8,-,155,-,19,2,43,13,13,17,-,-,-,-,-,-,-,-
S01001841,404,-,32,1,229,-,17,-,83,-,9,-,92,-,6,1,33,16,7,10,-,-,-,-,-,-,-,-
S01001842,442,3,44,3,178,2,14,-,127,-,11,1,137,1,19,2,46,14,12,20,-,-,-,-,-,-,-,-
S01001843,432,-,21,2,336,-,16,1,58,-,4,-,38,-,1,1,36,23,11,2,-,-,-,-,-,-,-,-
S01001844,694,2,26,2,308,1,5,1,167,1,10,-,219,-,11,1,96,12,13,71,22,3,-,19,-,-,-,-
S01001845,471,2,17,1,147,-,5,1,106,-,1,-,218,2,11,-,25,4,8,13,5,-,-,5,-,-,-,-
S01001846,528,2,31,5,193,2,7,1,121,-,7,3,214,-,17,1,33,7,11,15,3,-,-,3,-,-,-,-
S01001847,465,1,27,4,364,1,22,-,60,-,4,2,41,-,1,2,85,65,13,7,-,-,-,-,-,-,-,-
S01001848,459,-,36,2,364,-,22,1,53,-,9,-,42,-,5,1,23,15,4,4,3,3,-,-,-,-,-,-
S01001849,362,-,21,6,112,-,3,1,52,-,7,-,198,-,11,5,30,8,5,17,3,-,-,3,-,-,-,-
S01001850,436,2,33,-,269,1,13,-,90,1,8,-,77,-,12,-,49,22,13,14,-,-,-,-,-,-,-,-
S01001851,435,-,67,7,199,-,15,1,113,-,15,-,123,-,37,6,30,6,7,17,5,-,-,5,-,-,-,-
S01001852,534,-,20,1,281,-,9,-,114,-,6,-,139,-,5,1,22,11,5,6,-,-,-,-,-,-,-,-
S01001853,459,-,36,3,159,-,7,-,102,-,11,-,198,-,18,3,19,5,2,12,-,-,-,-,-,-,-,-
S01001854,376,7,43,55,191,5,26,36,58,2,6,7,127,-,11,12,62,40,9,13,43,19,17,7,45,29,16,-
S01001855,420,3,52,13,126,2,17,1,96,1,14,1,198,-,21,11,42,13,11,18,12,3,3,6,-,-,-,-
S01001856,336,3,18,4,257,3,9,2,46,-,4,-,33,-,5,2,34,21,10,3,3,-,3,-,-,-,-,-
S01001857,488,1,24,1,367,1,18,-,82,-,6,-,39,-,-,1,29,20,6,3,6,6,-,-,-,-,-,-
S01001858,476,-,30,2,169,-,5,1,102,-,7,1,205,-,18,-,31,5,10,16,4,-,-,4,-,-,-,-
S01001859,573,-,20,-,472,-,16,-,66,-,1,-,35,-,3,-,31,25,2,4,-,-,-,-,-,-,-,-
S01001860,471,2,26,9,128,-,7,-,106,-,4,-,237,2,15,9,31,1,8,22,3,-,-,3,3,-,-,3
S01001861,552,1,48,4,411,1,27,1,77,-,13,1,64,-,8,2,51,37,7,7,6,3,-,3,-,-,-,-
S01001862,575,2,19,3,317,-,7,-,133,2,6,1,125,-,6,2,30,11,11,8,4,-,-,4,-,-,-,-
S01001863,591,2,22,3,325,-,11,1,151,1,6,1,115,1,5,1,31,11,13,7,-,-,-,-,-,-,-,-
S01001864,393,18,64,2,292,14,40,1,56,2,19,-,45,2,5,1,42,29,9,4,-,-,-,-,-,-,-,-
S01001865,301,1,30,1,229,1,18,-,40,-,11,-,32,-,1,1,36,31,5,-,3,3,-,-,-,-,-,-
S01001866,430,3,24,2,116,2,7,-,81,-,6,-,233,1,11,2,23,8,7,8,-,-,-,-,-,-,-,-
S01001867,301,-,26,2,262,-,13,2,28,-,5,-,11,-,8,-,15,14,1,-,-,-,-,-,-,-,-,-
S01001868,435,4,23,2,152,-,11,-,75,1,5,-,208,3,7,2,27,13,4,10,-,-,-,-,-,-,-,-
S01001869,500,2,37,1,296,1,16,-,90,1,6,-,114,-,15,1,29,10,4,15,6,3,-,3,-,-,-,-
S01001870,388,3,31,3,314,3,26,2,53,-,2,-,21,-,3,1,14,13,-,1,3,-,3,-,-,-,-,-
S01001871,441,3,60,10,296,1,14,1,84,1,8,2,61,1,38,7,31,17,7,7,-,-,-,-,-,-,-,-
S01001872,471,2,26,4,313,2,12,-,74,-,4,-,84,-,10,4,34,11,10,13,3,-,-,3,-,-,-,-
S01001873,437,-,24,5,89,-,3,-,73,-,2,1,275,-,19,4,20,4,4,12,-,-,-,-,-,-,-,-
S01001874,333,-,35,2,258,-,28,2,43,-,5,-,32,-,2,-,35,21,9,5,6,3,3,-,-,-,-,-
S01001875,526,-,21,2,118,-,3,-,100,-,3,2,308,-,15,-,24,10,5,9,-,-,-,-,-,-,-,-
S01001876,601,1,33,5,443,1,19,1,81,-,6,4,77,-,8,-,32,20,3,9,6,-,3,3,-,-,-,-
S01001877,464,-,36,2,334,-,20,1,80,-,14,-,50,-,2,1,44,27,11,6,3,3,-,-,-,-,-,-
S01001878,674,-,35,7,108,-,4,1,117,-,9,-,449,-,22,6,53,7,14,32,11,-,3,8,-,-,-,-
S01001879,329,1,36,4,257,1,26,3,38,-,5,1,34,-,5,-,29,23,1,5,-,-,-,-,-,-,-,-
S01001880,388,2,34,2,305,2,16,1,45,-,14,1,38,-,4,-,49,35,8,6,3,3,-,-,-,-,-,-
S01001881,440,-,18,4,217,-,6,1,98,-,7,-,125,-,5,3,18,13,-,5,3,-,3,-,8,5,3,-
S01001882,428,8,57,2,268,5,23,1,81,2,19,-,79,1,15,1,47,22,12,13,4,-,-,4,-,-,-,-
S01001883,332,4,19,13,67,-,2,1,60,-,5,1,205,4,12,11,28,4,5,19,12,3,-,9,-,-,-,-
S01001884,529,2,36,5,437,1,26,1,53,-,5,-,39,1,5,4,25,14,7,4,-,-,-,-,-,-,-,-
S01001885,625,4,37,5,172,2,1,1,109,1,11,-,344,1,25,4,20,3,5,12,-,-,-,-,-,-,-,-
S01001886,389,1,32,1,309,1,27,-,41,-,5,1,39,-,-,-,26,20,5,1,3,3,-,-,-,-,-,-
S01001887,533,4,34,2,376,4,12,1,71,-,10,-,86,-,12,1,22,12,3,7,13,5,3,5,-,-,-,-
S01001888,521,3,36,8,147,-,5,3,111,-,9,-,263,3,22,5,41,5,7,29,3,-,-,3,-,-,-,-
S01001889,331,-,21,1,178,-,4,1,47,-,8,-,106,-,9,-,29,5,15,9,3,-,-,3,-,-,-,-
S01001890,513,-,61,3,381,-,40,2,84,-,13,-,48,-,8,1,26,16,8,2,3,-,-,3,-,-,-,-
S01001891,328,1,20,3,247,-,15,2,49,1,4,1,32,-,1,-,15,11,1,3,4,-,4,-,-,-,-,-
S01001892,420,1,41,5,334,1,26,3,57,-,9,1,29,-,6,1,58,45,9,4,3,-,3,-,-,-,-,-
S01001893,529,4,44,6,418,2,17,2,80,2,16,1,31,-,11,3,47,36,5,6,6,3,3,-,-,-,-,-
S01001894,358,4,35,5,298,4,26,3,39,-,4,1,21,-,5,1,36,25,5,6,6,3,3,-,-,-,-,-
S01001895,402,1,37,5,290,1,19,-,54,-,7,-,58,-,11,5,30,17,6,7,7,-,-,7,-,-,-,-
S01001896,456,-,38,10,78,-,3,-,80,-,7,2,298,-,28,8,36,4,7,25,-,-,-,-,-,-,-,-
S01001897,423,3,42,3,317,2,26,2,69,1,8,1,37,-,8,-,44,34,5,5,7,4,-,3,-,-,-,-
S01001898,391,1,29,4,319,1,27,3,46,-,1,-,26,-,1,1,22,17,3,2,-,-,-,-,-,-,-,-
S01001899,504,3,33,4,373,1,24,4,75,2,6,-,56,-,3,-,29,14,8,7,3,3,-,-,-,-,-,-
S01001900,490,-,27,2,351,-,11,1,83,-,10,-,56,-,6,1,20,12,5,3,-,-,-,-,-,-,-,-
S01001901,500,2,42,10,121,-,9,-,73,1,6,2,306,1,27,8,47,5,13,29,6,3,-,3,-,-,-,-
S01001902,493,3,59,11,73,1,3,-,65,1,8,1,355,1,48,10,73,7,10,56,7,-,-,7,-,-,-,-
S01001903,330,-,23,-,251,-,16,-,51,-,3,-,28,-,4,-,20,10,1,9,3,-,-,3,-,-,-,-
S01001904,369,-,24,4,286,-,12,2,49,-,5,-,34,-,7,2,26,18,4,4,-,-,-,-,-,-,-,-
S01001905,500,1,58,11,78,-,10,-,70,-,6,-,352,1,42,11,59,9,10,40,19,3,3,13,3,-,-,3
S01001906,542,9,39,7,416,7,28,7,73,2,6,-,53,-,5,-,63,49,6,8,3,3,-,-,-,-,-,-
S01001907,438,-,29,-,348,-,20,-,59,-,3,-,31,-,6,-,29,18,3,8,-,-,-,-,-,-,-,-
S01001908,453,2,23,7,120,-,5,1,75,-,4,1,258,2,14,5,36,11,5,20,9,-,-,9,-,-,-,-
S01001909,368,1,25,-,300,1,15,-,39,-,6,-,29,-,4,-,39,30,3,6,3,-,-,3,-,-,-,-
S01001910,448,1,25,1,349,-,13,-,65,1,8,-,34,-,4,1,41,21,8,12,3,3,-,-,-,-,-,-
S01001911,431,1,22,-,79,-,2,-,73,-,4,-,279,1,16,-,27,7,6,14,-,-,-,-,-,-,-,-
S01001912,463,5,28,-,318,1,17,-,105,4,7,-,40,-,4,-,31,14,11,6,-,-,-,-,-,-,-,-
S01001913,499,1,56,50,328,1,36,24,107,-,19,9,64,-,1,17,28,19,6,3,6,3,-,3,3,3,-,-
S01001914,341,-,25,6,43,-,5,-,34,-,4,-,264,-,16,6,20,4,4,12,3,-,-,3,-,-,-,-
S01001915,515,-,38,5,243,-,6,-,119,-,9,1,153,-,23,4,34,11,9,14,4,-,-,4,-,-,-,-
S01001916,416,1,73,4,103,-,8,-,77,-,11,1,236,1,54,3,66,11,17,38,17,-,-,17,3,-,-,3
S01001917,360,-,22,6,38,-,2,-,43,-,5,-,279,-,15,6,36,4,6,26,11,3,-,8,-,-,-,-
S01001918,452,3,95,15,157,-,6,2,100,2,24,4,195,1,65,9,100,19,22,59,8,3,-,5,3,-,-,3
S01001919,547,2,36,-,401,2,26,-,98,-,7,-,48,-,3,-,34,22,5,7,-,-,-,-,-,-,-,-
S01001920,344,1,34,1,176,-,9,1,54,-,9,-,114,1,16,-,14,2,3,9,-,-,-,-,-,-,-,-
S01001921,356,1,19,4,270,1,12,2,55,-,4,2,31,-,3,-,27,19,5,3,-,-,-,-,-,-,-,-
S01001922,501,1,16,1,172,-,3,-,131,1,5,-,198,-,8,1,23,9,4,10,6,-,3,3,-,-,-,-
S01001923,408,1,24,5,317,1,18,2,60,-,2,2,31,-,4,1,19,16,1,2,-,-,-,-,-,-,-,-
S01001924,376,1,47,2,113,-,7,-,65,-,9,-,198,1,31,2,39,5,10,24,6,-,3,3,-,-,-,-
S01001925,444,3,37,4,72,-,7,1,51,1,4,-,321,2,26,3,38,4,6,28,4,-,-,4,-,-,-,-
S01001926,448,4,24,3,357,4,20,1,62,-,2,2,29,-,2,-,44,32,6,6,-,-,-,-,-,-,-,-
S01001927,476,-,35,14,123,-,4,1,77,-,10,-,276,-,21,13,31,5,7,19,14,3,3,8,-,-,-,-
S01001928,431,-,98,16,89,-,13,3,88,-,23,-,254,-,62,13,97,16,16,65,20,3,3,14,-,-,-,-
S01001929,445,-,22,4,107,-,6,-,92,-,3,1,246,-,13,3,16,2,4,10,4,-,-,4,-,-,-,-
S01001930,423,-,79,15,85,-,9,1,78,-,19,2,260,-,51,12,81,10,17,54,10,-,-,10,-,-,-,-
S01001931,400,2,23,2,343,1,18,2,35,1,3,-,22,-,2,-,43,30,7,6,-,-,-,-,-,-,-,-
S01001932,595,2,24,-,453,-,16,-,86,2,7,-,56,-,1,-,74,48,17,9,3,-,3,-,-,-,-,-
S01001933,531,-,32,3,166,-,4,-,113,-,9,-,252,-,19,3,42,8,12,22,-,-,-,-,-,-,-,-
S01001934,445,1,47,2,313,1,16,-,84,-,13,-,48,-,18,2,43,21,9,13,-,-,-,-,-,-,-,-
S01001935,389,11,36,7,308,9,30,7,53,1,3,-,28,1,3,-,24,19,3,2,3,3,-,-,-,-,-,-
S01001936,508,5,39,11,202,1,13,-,83,-,6,2,223,4,20,9,49,8,11,30,6,3,-,3,-,-,-,-
S01001937,535,1,54,2,356,-,22,-,102,1,14,2,77,-,18,-,52,22,16,14,6,3,-,3,-,-,-,-
S01001938,271,1,57,13,42,-,11,1,39,-,2,1,190,1,44,11,48,2,11,35,16,-,-,16,-,-,-,-
S01001939,255,2,62,5,64,-,6,1,54,-,10,-,137,2,46,4,53,8,15,30,10,-,-,10,-,-,-,-
S01001940,386,2,33,12,123,1,3,-,46,1,4,-,217,-,26,12,47,11,1,35,5,-,-,5,-,-,-,-
S01001941,474,8,42,4,114,2,9,-,57,3,5,3,303,3,28,1,46,10,5,31,15,-,-,15,-,-,-,-
S01001942,248,-,49,11,62,-,7,2,48,-,15,1,138,-,27,8,48,5,11,32,9,-,3,6,-,-,-,-
S01001943,339,-,24,3,259,-,13,1,49,-,3,1,31,-,8,1,30,18,8,4,-,-,-,-,-,-,-,-
S01001944,346,2,31,8,63,-,10,-,46,-,6,-,237,2,15,8,32,5,4,23,6,-,3,3,-,-,-,-
S01001945,380,3,43,4,58,-,5,-,47,1,8,-,275,2,30,4,25,4,4,17,8,-,-,8,-,-,-,-
S01001946,374,4,53,2,309,3,42,1,40,-,4,-,25,1,7,1,62,46,9,7,3,3,-,-,-,-,-,-
S01001947,430,1,50,14,82,-,7,2,61,-,7,1,287,1,36,11,44,10,7,27,11,-,3,8,-,-,-,-
S01001948,315,8,52,5,227,8,39,3,53,-,6,1,35,-,7,1,59,50,7,2,-,-,-,-,-,-,-,-
S01001949,320,1,83,5,260,-,49,5,34,-,14,-,26,1,20,-,22,15,5,2,-,-,-,-,-,-,-,-
S01001950,543,1,78,2,322,1,31,-,116,-,28,-,105,-,19,2,49,23,9,17,11,-,-,11,3,-,-,3
S01001951,437,1,45,4,270,1,30,2,74,-,3,-,93,-,12,2,18,10,6,2,6,3,-,3,-,-,-,-
S01001952,400,1,28,13,80,-,6,1,58,-,5,2,262,1,17,10,37,3,2,32,6,-,3,3,4,-,-,4
S01001953,384,-,47,12,58,-,4,-,48,-,6,2,278,-,37,10,70,14,11,45,13,-,-,13,-,-,-,-
S01001954,327,1,16,-,208,-,8,-,60,1,4,-,59,-,4,-,17,9,3,5,3,-,-,3,-,-,-,-
S01001955,445,-,26,-,364,-,14,-,52,-,8,-,29,-,4,-,27,19,5,3,5,-,-,5,-,-,-,-
S01001956,406,2,36,2,321,2,25,-,55,-,6,1,30,-,5,1,25,16,3,6,-,-,-,-,-,-,-,-
S01001957,455,6,25,1,363,5,15,-,49,1,6,-,43,-,4,1,31,20,5,6,-,-,-,-,-,-,-,-
S01001958,475,5,65,3,342,5,39,-,62,-,9,-,71,-,17,3,54,29,7,18,-,-,-,-,-,-,-,-
S01001959,399,-,10,1,281,-,4,1,61,-,1,-,57,-,5,-,12,4,5,3,3,-,3,-,-,-,-,-
S01001960,426,4,51,7,87,-,11,1,59,2,10,-,280,2,30,6,61,8,11,42,10,3,-,7,-,-,-,-
S01001961,546,2,58,10,151,-,4,-,116,-,14,1,279,2,40,9,72,12,19,41,10,-,-,10,-,-,-,-
S01001962,501,2,31,5,378,2,23,2,64,-,7,1,59,-,1,2,36,27,8,1,3,-,3,-,-,-,-,-
S01001963,423,-,47,15,227,-,13,5,67,-,12,2,129,-,22,8,64,19,20,25,9,-,3,6,3,-,3,-
S01001964,470,5,44,6,216,2,11,2,137,2,10,2,117,1,23,2,70,32,19,19,3,-,3,-,-,-,-,-
S01001965,485,4,51,-,392,4,36,-,50,-,10,-,43,-,5,-,46,31,6,9,-,-,-,-,-,-,-,-
S01001966,396,8,32,2,320,6,23,2,43,-,4,-,33,2,5,-,29,23,2,4,4,-,-,4,-,-,-,-
S01001967,376,-,31,2,212,-,12,2,104,-,11,-,60,-,8,-,59,28,16,15,6,3,-,3,-,-,-,-
S01001968,417,-,58,14,114,-,7,1,86,-,9,3,217,-,42,10,48,6,7,35,4,-,-,4,-,-,-,-
S01001969,393,-,23,1,281,-,13,-,74,-,3,1,38,-,7,-,40,16,12,12,-,-,-,-,-,-,-,-
S01001970,354,-,18,1,36,-,-,-,41,-,4,-,277,-,14,1,18,3,3,12,8,-,-,8,-,-,-,-
S01001971,430,1,45,6,368,1,31,4,35,-,10,1,27,-,4,1,25,17,6,2,-,-,-,-,-,-,-,-
S01001972,440,2,46,9,125,-,7,2,88,1,11,2,227,1,28,5,42,11,8,23,6,-,-,6,3,-,-,3
S01001973,407,-,21,3,280,-,14,2,93,-,5,1,34,-,2,-,32,24,8,-,-,-,-,-,-,-,-,-
S01001974,371,2,53,11,62,-,7,-,65,1,7,3,244,1,39,8,99,9,14,76,9,3,-,6,-,-,-,-
S01001975,347,-,38,12,62,-,10,2,52,-,3,-,233,-,25,10,52,4,8,40,7,-,-,7,-,-,-,-
S01001976,353,2,53,3,150,-,7,-,64,-,13,-,139,2,33,3,62,17,13,32,7,-,-,7,-,-,-,-
S01001977,431,-,32,7,319,-,12,1,72,-,8,1,40,-,12,5,21,12,2,7,4,-,-,4,-,-,-,-
S01001978,286,21,139,6,246,17,99,3,23,2,31,2,17,2,9,1,14,12,-,2,-,-,-,-,-,-,-,-
S01001979,323,3,44,13,28,-,3,1,45,-,8,1,250,3,33,11,51,15,4,32,11,3,-,8,-,-,-,-
S01001980,394,4,62,14,114,2,6,2,76,-,14,-,204,2,42,12,82,16,18,48,-,-,-,-,-,-,-,-
S01001981,402,-,52,11,107,-,11,1,55,-,10,1,240,-,31,9,52,14,3,35,11,-,-,11,-,-,-,-
S01001982,296,5,19,2,214,5,15,2,37,-,1,-,45,-,3,-,47,35,6,6,-,-,-,-,3,3,-,-
S01001983,343,2,56,6,64,-,8,-,58,-,10,-,221,2,38,6,65,6,14,45,14,-,-,14,-,-,-,-
S01001984,211,4,98,4,122,2,44,-,41,2,16,-,48,-,38,4,33,17,8,8,3,3,-,-,-,-,-,-
S01001985,419,2,43,-,261,2,23,-,89,-,10,-,69,-,10,-,54,28,14,12,-,-,-,-,-,-,-,-
S01001986,324,2,89,15,77,1,14,-,74,1,20,1,173,-,55,14,59,14,14,31,13,-,3,10,-,-,-,-
S01001987,229,1,63,12,33,-,3,1,38,-,10,1,158,1,50,10,77,14,8,55,12,-,-,12,3,-,-,3
S01001988,458,-,36,3,271,-,17,1,103,-,12,-,84,-,7,2,40,23,10,7,-,-,-,-,-,-,-,-
S01001989,560,1,36,1,260,-,13,1,92,1,8,-,208,-,15,-,40,9,13,18,3,3,-,-,-,-,-,-
S01001990,365,-,48,11,67,-,2,1,40,-,7,-,258,-,39,10,85,6,11,68,13,-,-,13,-,-,-,-
S01001991,434,3,39,1,288,1,15,-,101,1,17,1,45,1,7,-,43,28,9,6,-,-,-,-,-,-,-,-
S01001992,411,2,31,15,95,2,-,3,66,-,12,1,250,-,19,11,60,11,8,41,3,-,-,3,-,-,-,-
S01001993,364,1,47,7,69,-,2,-,40,-,3,-,255,1,42,7,46,10,8,28,3,-,-,3,-,-,-,-
S01001994,408,2,79,8,106,1,5,-,87,-,19,1,215,1,55,7,96,13,30,53,7,-,-,7,3,-,-,3
S01001995,418,4,44,5,208,2,19,2,118,2,12,2,92,-,13,1,53,13,20,20,-,-,-,-,-,-,-,-
S01001996,373,-,87,20,72,-,6,1,62,-,17,3,239,-,64,16,124,11,14,99,20,3,-,17,3,-,-,3
S01001997,428,1,28,6,274,-,10,1,76,1,7,1,78,-,11,4,50,15,15,20,9,3,3,3,-,-,-,-
S01001998,401,-,38,3,220,-,15,-,94,-,15,-,87,-,8,3,35,17,9,9,3,3,-,-,-,-,-,-
S01001999,191,-,60,5,29,-,4,-,16,-,13,1,146,-,43,4,74,12,9,53,25,3,3,19,-,-,-,-
S01002000,459,1,34,5,330,1,22,3,78,-,5,1,51,-,7,1,44,25,14,5,-,-,-,-,-,-,-,-
S01002001,466,-,75,14,173,-,15,2,126,-,27,4,167,-,33,8,110,32,29,49,19,-,4,15,-,-,-,-
S01002002,207,-,27,15,24,-,1,-,35,-,7,1,148,-,19,14,51,7,8,36,7,-,-,7,3,-,-,3
S01002003,518,3,32,5,316,2,19,5,105,1,8,-,97,-,5,-,40,17,12,11,-,-,-,-,3,-,-,3
S01002004,416,2,88,10,140,-,8,1,85,-,22,1,191,2,58,8,66,11,13,42,10,-,3,7,-,-,-,-
S01002005,500,-,35,1,389,-,19,-,60,-,6,-,51,-,10,1,28,15,7,6,-,-,-,-,-,-,-,-
S01002006,569,3,41,-,359,3,20,-,114,-,7,-,96,-,14,-,37,18,11,8,3,3,-,-,-,-,-,-
S01002007,570,2,84,19,196,1,24,2,135,1,17,7,239,-,43,10,84,30,18,36,9,3,3,3,3,-,-,3
S01002008,392,4,77,13,65,-,5,1,56,-,10,4,271,4,62,8,82,10,16,56,25,-,-,25,-,-,-,-
S01002009,354,3,50,11,93,-,5,-,45,-,8,2,216,3,37,9,51,8,12,31,12,-,-,12,-,-,-,-
S01002010,199,-,25,11,31,-,2,-,28,-,3,2,140,-,20,9,40,3,11,26,15,3,-,12,-,-,-,-
S01002011,652,2,54,6,273,-,16,1,187,-,15,1,192,2,23,4,63,12,17,34,6,-,3,3,-,-,-,-
S01002012,340,-,56,6,91,-,8,-,57,-,11,-,192,-,37,6,70,8,11,51,9,-,-,9,-,-,-,-
S01002013,333,-,43,11,57,-,1,2,41,-,11,-,235,-,31,9,51,4,4,43,20,-,3,17,-,-,-,-
S01002014,290,-,41,8,56,-,2,2,46,-,10,-,188,-,29,6,79,10,17,52,20,-,3,17,-,-,-,-
S01002015,600,-,23,2,362,-,9,-,148,-,8,-,90,-,6,2,15,7,4,4,3,3,-,-,-,-,-,-
S01002016,314,-,56,7,72,-,8,1,71,-,13,2,171,-,35,4,80,8,27,45,9,-,-,9,-,-,-,-
S01002017,596,8,26,3,504,8,18,2,49,-,6,-,43,-,2,1,18,17,-,1,3,3,-,-,-,-,-,-
S01002018,527,-,23,2,339,-,7,1,114,-,12,-,74,-,4,1,41,16,16,9,-,-,-,-,-,-,-,-
S01002019,239,-,67,14,40,-,11,-,35,-,8,1,164,-,48,13,77,3,13,61,23,-,3,20,-,-,-,-
S01002020,127,-,35,11,22,-,6,3,28,-,7,-,77,-,22,8,39,7,8,24,3,-,3,-,-,-,-,-
S01002021,580,1,48,3,448,1,32,-,71,-,8,-,61,-,8,3,41,17,11,13,7,-,4,3,-,-,-,-
S01002022,455,1,26,7,277,-,9,1,91,1,7,2,87,-,10,4,32,16,5,11,-,-,-,-,-,-,-,-
S01002023,358,2,51,18,59,-,4,-,62,-,9,3,237,2,38,15,85,2,19,64,19,-,-,19,6,3,-,3
S01002024,353,1,50,10,65,-,9,-,59,1,8,-,229,-,33,10,55,7,7,41,12,-,-,12,-,-,-,-
S01002025,480,6,80,15,138,2,16,3,106,-,17,3,236,4,47,9,98,13,24,61,12,3,-,9,-,-,-,-
S01002026,459,2,27,1,239,1,8,-,114,-,9,1,106,1,10,-,25,5,5,15,3,-,3,-,-,-,-,-
S01002027,309,2,68,15,80,-,4,2,48,-,14,2,181,2,50,11,84,9,13,62,22,-,-,22,-,-,-,-
S01002028,204,5,43,14,50,-,5,1,42,-,11,4,112,5,27,9,81,17,14,50,16,-,-,16,-,-,-,-
S01002029,230,-,44,12,33,-,3,2,25,-,6,1,172,-,35,9,83,8,10,65,29,-,-,29,3,-,-,3
S01002030,430,4,89,10,122,-,9,1,94,2,19,3,214,2,61,6,100,12,29,59,16,3,-,13,-,-,-,-
S01002031,366,3,44,4,195,3,15,-,84,-,14,2,87,-,15,2,69,22,24,23,13,3,3,7,-,-,-,-
S01002032,362,7,65,7,104,-,5,-,73,2,11,-,185,5,49,7,70,8,15,47,9,-,-,9,-,-,-,-
S01002033,413,2,84,11,202,-,23,2,98,-,20,-,113,2,41,9,107,38,30,39,13,3,-,10,-,-,-,-
S01002034,341,1,83,29,89,1,8,1,48,-,14,2,204,-,61,26,110,14,17,79,15,-,-,15,3,-,-,3
S01002035,451,-,26,3,238,-,12,2,108,-,7,-,105,-,7,1,25,11,11,3,6,-,3,3,-,-,-,-
S01002036,445,5,88,7,203,-,25,1,105,2,18,-,137,3,45,6,118,37,32,49,5,-,-,5,-,-,-,-
S01002037,230,-,39,3,40,-,3,-,35,-,8,-,155,-,28,3,51,4,9,38,14,-,3,11,-,-,-,-
S01002038,216,2,36,11,36,-,1,1,30,-,3,2,150,2,32,8,52,5,11,36,16,-,3,13,-,-,-,-
S01002039,355,-,46,3,149,-,17,1,60,-,5,-,146,-,24,2,32,10,6,16,3,-,-,3,-,-,-,-
S01002040,254,-,35,6,91,-,9,2,56,-,7,1,107,-,19,3,63,15,13,35,4,-,-,4,-,-,-,-
