area,percent.rents,white.l00,white.m00,white.h00,black.l00,black.m00,black.h00,asian.l00,asian.m00,asian.h00,hisp.l00,hisp.m00,hisp.h00,other.l00,other.m00,other.h00,white.l09,white.m09,white.h09,black.l09,black.m09,black.h09,asian.l09,asian.m09,asian.h09,hisp.l09,hisp.m09,hisp.h09,other.l09,other.m09,other.h09,medval
621102,0.3424658,280,333,423,0,10,0,9,40,18,28,32,23,25,16,19,189,272,463,0,2,9,11,33,40,30,29,48,34,24,26,404900
621201,0.52,681,736,639,34,10,11,34,73,77,125,46,75,59,74,50,440,592,734,14,32,14,41,66,121,134,68,116,79,93,77,394700
621202,0.6207665,762,575,506,8,21,0,48,65,75,98,29,7,48,38,16,484,414,553,8,13,8,48,69,89,95,47,12,56,47,23,387900
621301,0.4430509,786,808,796,6,48,6,63,78,94,104,55,46,61,43,23,584,667,953,2,30,38,78,94,132,115,77,82,83,66,33,416900
621321,0.6330834,575,669,478,27,4,32,72,43,47,59,43,42,0,72,23,412,555,637,14,22,38,87,55,70,77,58,62,0,98,41,370900
621322,0.810113,546,662,368,0,26,4,35,55,16,33,37,20,33,44,16,353,609,425,0,28,4,37,59,33,36,43,34,42,59,24,554300
650001,0.3179012,342,381,128,49,0,7,507,356,180,119,145,8,79,93,0,218,299,178,48,0,6,468,390,266,124,166,52,90,110,3,228600
650002,0.6367874,701,347,107,165,21,7,579,234,96,319,92,17,238,79,0,472,331,159,142,44,7,596,279,138,344,161,51,276,114,4,245700
650101,0.2123682,453,228,171,16,24,9,343,336,260,105,79,18,66,55,12,312,204,181,12,22,16,325,352,331,107,124,28,78,67,18,259400
650102,0.2804878,178,160,67,4,10,0,89,88,48,59,23,8,58,13,0,103,132,84,1,12,1,91,95,60,51,41,20,67,19,0,223900
650200,0.2453512,421,552,180,24,17,0,126,205,96,91,107,46,78,54,31,279,377,291,9,35,0,127,201,168,98,126,89,99,69,43,232900
650300,0.5150905,670,476,211,79,9,21,223,203,141,190,161,17,161,60,41,498,385,306,63,31,25,249,222,200,240,181,73,209,80,58,237800
650400,0.2181688,325,432,205,10,8,0,87,121,70,36,30,41,17,16,33,189,351,245,7,9,3,81,122,114,29,42,61,20,20,44,299100
650501,0.1407129,255,238,282,1,4,0,49,99,33,20,40,15,7,49,3,149,167,251,1,4,0,45,82,57,18,36,32,8,54,7,327900
650502,0.2923272,343,440,346,8,4,0,78,97,132,18,51,34,24,21,9,212,287,387,2,10,0,75,98,164,15,59,48,31,25,11,352800
650601,0.8780286,1038,555,267,95,78,0,641,323,85,237,148,40,192,114,38,761,504,370,68,103,17,725,405,132,238,255,89,243,163,56,328400
650602,0.8210451,741,515,121,16,60,0,532,382,136,156,42,29,112,47,5,517,406,211,16,42,19,528,433,215,167,80,44,135,63,7,340900
650603,0.3781127,383,395,199,0,13,0,154,112,149,43,32,12,39,18,16,326,342,311,0,15,0,174,141,239,44,62,17,50,26,28,383000
650701,0.1603154,185,212,146,0,1,0,17,51,62,11,35,7,8,18,7,127,186,177,0,1,0,16,59,91,8,45,20,11,27,10,346200
650702,0.1450777,343,406,399,0,3,4,81,115,77,44,31,29,31,22,5,200,289,443,0,3,4,74,128,110,53,27,48,40,25,10,344400
650800,0.2563402,489,376,265,33,0,0,412,500,352,29,39,27,33,16,27,324,282,310,10,22,0,379,501,490,36,27,57,40,17,35,286100
650901,0.6068341,925,513,158,50,14,0,85,115,52,250,168,39,182,87,24,641,468,241,39,25,7,91,145,76,279,243,77,237,120,34,259300
650902,0.6086338,616,291,200,47,11,11,173,167,68,289,148,19,154,114,39,447,286,205,32,25,15,176,181,108,351,174,91,200,145,61,245500
651001,0.2213459,601,347,229,17,9,3,108,196,129,78,76,48,67,46,19,396,323,246,5,21,3,110,198,190,100,78,80,87,58,28,315800
651002,0.3779849,408,291,253,12,21,0,159,246,136,80,50,12,62,18,23,258,215,249,4,24,4,149,221,200,63,83,22,72,22,28,335500
651101,0.405692,350,437,296,21,23,0,162,194,142,41,57,33,32,41,8,216,337,321,11,30,4,164,186,215,39,79,49,38,52,14,426700
651102,0.5195035,696,317,123,25,0,0,153,134,81,50,36,42,44,40,11,520,375,167,30,0,0,192,158,141,61,61,65,61,63,18,297100
651201,0.1134916,385,540,458,2,6,0,9,99,95,9,23,64,17,25,13,270,397,583,2,2,4,11,107,133,9,25,90,23,31,21,374700
651221,0.6945289,371,249,126,28,0,0,195,107,68,73,35,10,37,46,19,263,243,160,31,0,0,231,130,97,89,55,20,49,64,28,348500
651222,0.651801,495,595,316,19,30,11,259,266,64,104,72,19,63,54,33,371,483,410,18,18,33,267,333,142,107,116,49,88,75,49,363700
651301,0.5146292,639,844,675,0,24,0,56,61,13,52,70,23,26,43,11,482,753,878,0,24,5,55,90,32,59,99,46,37,68,16,533000
651302,0.1794033,632,581,775,0,14,4,45,89,147,13,57,37,27,28,27,419,532,822,0,12,7,53,96,191,15,65,56,38,35,39,473400
651400,0.3924126,960,815,504,11,18,6,264,276,218,109,74,43,75,51,23,634,558,613,8,22,6,253,308,321,116,88,73,93,62,33,377300
670001,0.3733974,406,282,135,11,8,0,89,30,24,128,84,13,81,45,8,264,232,172,4,17,0,93,40,34,132,114,41,102,59,13,251900
670002,0.6380953,487,301,108,14,33,0,105,60,8,197,74,35,149,43,15,361,304,167,16,40,0,123,76,31,254,128,67,211,72,21,245000
670003,0.5353535,786,571,232,21,4,9,88,92,28,302,151,17,200,103,0,535,463,307,22,3,14,86,129,32,323,202,70,252,133,10,255800
670100,0.5433272,919,536,230,113,19,22,208,68,42,301,129,43,210,94,24,608,456,288,97,23,34,223,83,62,333,176,91,262,122,40,287200
670201,0.1386334,244,396,544,4,4,16,42,81,93,17,14,37,33,14,8,160,358,612,2,4,23,49,92,143,21,23,51,45,23,12,702600
670202,0.0641304,146,167,442,0,8,3,8,33,67,3,13,14,5,0,18,106,111,421,0,1,10,7,31,86,2,12,22,7,0,22,611000
670301,0.1233217,293,408,1051,5,0,10,28,34,123,5,10,19,10,7,14,248,287,1195,3,2,12,39,33,169,7,12,28,16,9,21,744100
670321,0.0504077,163,164,712,6,0,13,59,57,136,7,11,5,3,8,7,102,119,630,6,0,14,64,57,147,7,9,10,4,9,9,896600
670322,0.0979792,145,300,833,5,0,11,68,44,163,4,3,26,0,0,37,100,217,861,6,0,13,67,57,212,3,5,36,0,0,49,762600
670403,0.060307,102,210,319,0,0,8,25,76,113,8,0,13,0,0,10,66,128,348,0,0,9,24,70,154,5,5,16,0,0,13,575200
670405,0.1306695,172,202,297,0,0,11,39,46,155,0,0,13,0,13,0,110,131,283,0,0,11,33,51,167,0,0,15,0,14,2,558400
670406,0.1323024,64,53,244,0,9,0,29,40,120,0,0,11,0,0,16,47,38,221,0,2,7,33,36,146,0,0,14,0,0,21,794100
670407,0.4364214,309,498,447,5,30,12,215,242,313,41,23,11,33,14,23,238,456,583,2,33,24,283,283,516,43,38,40,50,26,35,445100
670411,0.1455026,242,363,503,0,15,0,61,116,175,8,19,18,9,8,18,157,214,531,0,3,12,55,112,220,8,15,30,11,9,23,477800
670413,0.1897212,350,362,432,29,7,0,136,129,317,30,10,4,0,17,16,192,266,468,27,1,6,122,138,376,25,20,8,0,19,21,543900
670414,0.3016835,233,278,434,6,12,20,127,101,191,13,0,29,28,19,0,147,259,507,8,16,22,158,137,266,12,10,43,39,30,0,676100
670500,0.0589147,39,85,415,0,0,9,0,12,62,4,2,8,6,5,0,30,66,450,0,0,11,0,10,90,6,1,13,9,6,1,1000001
670600,0.1541531,395,454,1211,30,0,42,62,94,317,8,39,40,4,49,10,299,393,1244,19,15,53,70,102,405,12,37,68,5,64,22,682500
670701,0.1319529,508,668,651,47,30,24,43,83,115,125,46,86,28,39,52,337,549,789,57,40,36,53,105,167,154,73,142,43,52,85,389700
670702,0.0472402,358,370,952,0,10,28,26,64,99,7,4,69,2,7,36,248,319,1019,0,4,39,31,75,133,7,7,92,3,10,49,671400
700100,0.9260625,3511,984,279,147,18,0,161,12,12,334,60,16,289,41,11,3065,1146,449,152,48,0,198,37,17,401,131,45,416,76,19,313300
700200,0.9002517,2285,1015,358,89,19,0,79,47,15,231,92,24,146,79,20,1858,1126,538,77,45,11,99,60,34,314,121,53,219,119,36,329300
