 id,cancer,resp,neuro,qtri00,qtri90,val90,pov00,pov09,inc00,inc09,pubass00,pubass09,totpop00,totpop09,pfb00,pfb09,pu1800,pu1809,po6500,po6509,pfhh00,pfhh09,phsd00,phsd09,pba00,pba09,medval00,medval09,ntri00,ntri09,nata,ppw00,ppw09,ppa00,ppa09,ppb00,ppb09,pph00,pph09,pneng00,pneng09,crime,api_elem,api_hs,dairport,dbeach,dcollege,dsports,dwater,units00,occ_units00,pocc_units00,pocc_0_units00,pocc_1_units00,pocc_2_units00,pocc_3_units00,pocc_4_units00,pocc_5m_units00,pdetach00,pmobile00,pb90_00,pb80_00,pb70_00,pb60_00,pb50_00,pb40_00,pb30_00,pkitchen00,pbath00,manuf,units90,occ_units90,pocc_units90,pocc_0_units90,pocc_1_units90,pocc_2_units90,pocc_3_units90,pocc_4_units90,pocc_5_units90,pdetach90,pmobile90,pb80_90,pb70_90,pb60_90,pb50_90,pb40_90,pb30_90,pkitchen90,pbath90,inc90,pov90,pa90,asian90,black90,hisp90,white90,pu18_90,pg65_90,pforeign90,pfhh90,phsd90,pnohigh90,pba90,med_val_occ90,med_month_ownercost_mort90,med_month_ownercost_nomort90,prent, delta_a, delta_b, delta_h, delta_w, delta_b_6, delta_b_9,vcrime
103200,64.84074286,12.82569582,0.152646399,0,0,202872,0.1014795,0.0577885,54423,61217,0.0155622,0.0397319,5484,5399,0.1646608,0.2022597,0.2275711,0.2098537,0.1418673,0.1461382,0.2748245,0.3135472,0.0978593,0,0.2703635,0.2379064,212600,494600,0,0,64.8407429,0.6351203,0.5362104,0.0663749,0.0992776,0.0605398,0.0329691,0.1943837,0.2839415,0.05,0.099,1655,631,664,7.4,32.8,7.3,17.9,3.8,2052,1994,0.9717349,0.0045135,0.050652,0.0932798,0.3435306,0.1308927,0.0120361,0.5812438,0.050652,0.0160481,0.0466399,0.0551655,0.2021063,0.2472417,0.0381143,0.0295888,0.9902534,0.9902534,0.1730301,1760,1686,0.9579545,0.0391459,0.2147094,0.2123369,0.3718861,0.1577699,0.0041518,0.8915009,0.0976492,0.0560579,0.0831826,0.3083183,0.4285714,0.1012658,0.022604,0.9903409,1,36214,0.036304,0.0477856,0.0499562,0.0571867,0.1246713,0.8455302,0.1893076,0.1389132,0.1498685,0.1622718,0.1447368,0.0559221,0.1592837,202872,962,172,0.3650953,2.377711602,1.686643024,0.917879846,2.113557703,2.714523945,3.742420915,495
103400,69.96527601,14.81625153,0.179348977,0,0,210200,0.1033912,0.13591,47205,52704,0.0424043,0.0362083,6209,6433,0.2129167,0.3071662,0.2357868,0.2073683,0.1240135,0.1311985,0.3078828,0.3848658,0.0708955,0,0.2162791,0.2249782,183100,440100,0,0,69.965276,0.6698341,0.6572361,0.0605573,0.0655993,0.0153004,0.0281362,0.2150105,0.2305301,0.06,0.1,1566,631,664,7.2,31.6,5.4,17.4,5,2511,2423,0.9649542,0.0045398,0.0557161,0.1939744,0.3210896,0.0561288,0.0074288,0.5018572,0.0309534,0.0136195,0.0825423,0.0825423,0.0631449,0.1919108,0.1097813,0.0953364,0.9860613,0.9860613,0.1142949,2483,2355,0.9484494,0.0569002,0.1978769,0.3133758,0.3961783,0.0356688,0,0.7469096,0.06311,0.1541965,0.1008458,0.0657124,0.3721536,0.2153546,0.0774236,1,1,39962,0.063432,0.0793582,0.0442761,0.0117845,0.1345118,0.8880472,0.2220539,0.1185185,0.1572391,0.2351275,0,0.0427372,0.1603261,210200,1151,201,0.3611226,1.935873721,2.094749645,0.588467891,2.320457422,3.122631783,4.150528754,294
104103,66.82641738,14.40052839,0.181181314,0,65,79439,0.1275276,0.0705982,56823,93447,0.0203822,0,3840,3888,0.3661458,0.3050412,0.3328125,0.3233025,0.0549479,0.1183128,0.2099872,0.2434302,0.0539419,0.0602,0.1427226,0.1732821,160900,448600,0,1,66.8264174,0.0963542,0.0959362,0.0536458,0.0594136,0.203125,0.1612654,0.6244792,0.6571502,0.09,0.159,1655,441,520,3.2,31,4.4,13.1,2.4,798,781,0.9786968,0.0128041,0.084507,0.0448143,0.3700384,0.3341869,0.0230474,0.8233035,0,0.0832266,0.2010243,0.0729834,0.3316261,0.1229193,0.0345711,0.0230474,0.9937344,0.9937344,0.1924658,793,774,0.9760404,0,0.0684755,0.1576227,0.5452197,0.2054264,0.0232558,0.8703428,0,0.3412817,0.0804769,0.3755589,0.1505216,0.0342772,0.0193741,1,1,22152,0.122233,0.0718789,0.0648548,0.2819642,0.4215565,0.3446572,0.3177887,0.0617665,0.3233477,0.2197802,0.1004566,0.2380183,0.1534733,79439,577,108,0.1306018,1.650118393,2.686443499,0.951185389,0.521491615,3.714328012,4.742224986,495
104104,76.29693837,16.39269497,0.187669563,0,0,119058,0.1554034,0.0965874,52609,73199,0.0775281,0.0137276,3507,3282,0.2834331,0.313833,0.3019675,0.2632541,0.0869689,0.0761731,0.2602892,0.2302006,0.1976285,0,0.1902227,0.2372449,159100,479900,0,0,76.2969384,0.2523524,0.1916514,0.0604505,0.0195003,0.2030225,0.2010969,0.4502424,0.575259,0.02,0.121,1655,512,520,3.8,31.3,5.3,14,1.9,939,899,0.9574015,0.0622914,0.0489433,0.2157953,0.349277,0.1668521,0.0044494,0.6929922,0,0.0355951,0.3192436,0.0533927,0.2035595,0.160178,0.0400445,0.0355951,0.9797657,0.9797657,0.1255144,882,849,0.962585,0.0023557,0.0918728,0.1743227,0.5170789,0.1896349,0.024735,0.8803301,0.002751,0.3287483,0.0756534,0.3425034,0.1678129,0.0412655,0.0481431,0.9977324,1,31242,0.114295,0.0646992,0.0608187,0.2669591,0.4040936,0.3739766,0.3146199,0.0649123,0.3081871,0.2104121,0.0878661,0.2191436,0.1632242,119058,828,151,0.1523916,0.295727478,2.877061786,0.895172969,0.876795184,3.904946505,4.932843479,495
104105,90.78090345,18.34092244,0.277576961,76,65,81364,0.2381867,0.2513729,33641,40708,0.1260253,0.1056034,5233,5674,0.5042996,0.5118083,0.3858207,0.3574198,0.0267533,0.0555164,0.3645833,0.3462644,0.122449,0.0413,0.1128049,0.1574523,129900,298600,1,1,90.7809034,0.0682209,0.0313712,0.0556086,0.0206204,0.116759,0.070497,0.7477546,0.8664082,0.3,0.302,1655,441,520,2.5,30.3,4.3,12.2,2.6,1399,1344,0.9606862,0.0528274,0.1026786,0.1815476,0.1465774,0.0245536,0,0.2723214,0.0491071,0.1733631,0.234375,0.0193452,0.0729167,0.0081845,0,0,0.9635454,0.9635454,0.1906573,1229,1164,0.9471115,0.0420962,0.2233677,0.3943299,0.2998282,0.0378007,0.0025773,0.6719577,0.1410935,0.4232804,0.1463845,0.1657848,0.1657848,0.0123457,0,0.9869813,0.9871134,16367,0.253844,0.1352531,0.0541766,0.2482193,0.5540686,0.3742715,0.3570041,0.0438161,0.3941291,0.3196721,0.3207547,0.302374,0.1003748,81364,550,212,0.4918155,-4.72E-02,1.681200746,1.048959077,-1.350703783,2.709084334,3.736981306,495
104106,72.54742212,16.21066193,0.189337146,8054,2297.5,72636,0.1926917,0.1802389,35236,52973,0.1065907,0.0401211,4886,5552,0.3937781,0.4848703,0.3505935,0.3524856,0.0597626,0.0587176,0.3065452,0.3080999,0.2904291,0.4732,0.0670543,0.0611291,156500,433500,3,4,72.5474221,0.0742939,0.0482709,0.0290626,0.023415,0.2048711,0.0779899,0.6770364,0.8470821,0.21,0.326,1655,441,520,2.4,29.9,5.7,12.9,1.2,1232,1207,0.9797078,0.06628,0.0173985,0.0853355,0.1938691,0.086164,0.009942,0.3396852,0.0671085,0.0372825,0.0886495,0.024855,0.0853355,0.1963546,0.0091135,0.0173985,0.9886364,0.9886364,0.2536806,1098,1040,0.9471767,0.0413462,0.2240385,0.3942308,0.3,0.0384615,0.0019231,0.6739131,0.1422925,0.4209486,0.1462451,0.1660079,0.1679842,0.013834,0,0.985428,0.9865385,14611,0.25376,0.1357422,0.0544004,0.2483075,0.5541586,0.3742747,0.3568665,0.0440039,0.3941006,0.3185299,0.3164557,0.3027052,0.1007463,72636,491,189,0.5410108,0.164156514,1.714941705,1.133139342,-0.847801249,2.74282526,3.770722232,495
104201,103.4638061,19.54922229,0.306980942,31299,15631.2326,133678,0.2046958,0.2871041,43417,41700,0.1152461,0.0243129,4787,4831,0.4477145,0.4572552,0.3815487,0.35148,0.0563557,0.0517491,0.2214533,0.2061311,0.2044888,0.0233,0.0269792,0.0379267,137600,367800,9,6,103.4638061,0.0254857,0.0461602,0.0014623,0.0060029,0.1445582,0.0494722,0.813662,0.8983647,0.21,0.247,1655,423,578,3,30.4,3.1,11.3,4.2,881,853,0.9682179,0.010551,0.1946073,0.098476,0.2860492,0.0937866,0.0480657,0.6905041,0,0.0234467,0.017585,0.0762016,0.1641266,0.3575616,0.059789,0.0328253,0.9829739,0.9829739,0.2740984,730,722,0.9890411,0.0124654,0.1066482,0.2229917,0.5180055,0.1385042,0,0.9668508,0,0,0.0552486,0.2707182,0.5709024,0.0902394,0.0128913,1,0.9875346,37075,0.153188,0.0929577,0.0015155,0.2813842,0.7095226,0.1323567,0.3614549,0.041172,0.4746148,0.3401869,0.4584527,0.397541,0.0292008,133678,811,226,0.2684642,-0.857612667,1.442529709,1.236802557,-0.555059928,2.470411384,3.498308355,495
104202,75.32273652,16.27914256,0.207841603,31299,15631.2326,172914,0.199813,0.2423083,36683,42222,0.0796253,0.093099,7809,7221,0.444103,0.4484144,0.3396081,0.3492591,0.0585222,0.0393297,0.2998236,0.3691406,0.2322275,0.0822,0.0664063,0.0866516,148600,307900,9,6,75.3227365,0.0779869,0.050824,0.0299654,0.0718737,0.1418876,0.1019249,0.7390191,0.7684531,0.21,0.326,1655,400,520,2.4,30.1,3.9,11.6,3.3,1756,1701,0.9686788,0.0458554,0.0964139,0.1457966,0.1693122,0.1158142,0.037037,0.4250441,0.0893592,0.0523222,0.1346267,0.047619,0.1581423,0.1957672,0.0188125,0.0029394,0.9857631,0.9857631,0.2209088,1391,1348,0.969087,0.0170623,0.2181009,0.3130564,0.3086053,0.134273,0.0096439,0.7332602,0.1767289,0.1844127,0.1284303,0.2821076,0.2305159,0.1020856,0.0197585,0.9992811,0.9948071,35004,0.154418,0.1108801,0.0453229,0.2744931,0.5648322,0.2399046,0.3354916,0.0628727,0.4186403,0.2244094,0.3913043,0.3117942,0.0953576,172914,1293,228,0.3897707,1.830308321,2.410384919,1.226876995,-0.246657985,3.438269347,4.466166321,495
104310,94.9650748,18.39855815,0.266362737,24167,9285.9751,49540,0.2083333,0.2837029,38984,48825,0.1214421,0.0188324,3176,2865,0.4762053,0.4212914,0.3800933,0.2998255,0.0693624,0.0719023,0.2161172,0.1864407,0.1410788,0.1111,0.0301538,0.028416,143500,374500,6,2,94.9650748,0.013539,0.0254799,0.0050378,0,0.111461,0.0705061,0.8608313,0.904014,0.14,0.218,1655,472,578,2.5,29.3,4,10.1,4.6,532,532,1,0.1578947,0.1240602,0.0921053,0.2612782,0.0808271,0.0281955,0.6597744,0,0,0.0263158,0.0526316,0.1766917,0.2725564,0.0996241,0.1165414,0.9699248,0.9699248,0.2362822,582,570,0.9793814,0.0315789,0.2719298,0.2596491,0.3614035,0.0631579,0.0105263,0.9312321,0,0.0630372,0.0716332,0.2005731,0.5186247,0.1060172,0.0372493,0.9810997,0.9877193,9785,0.227288,0.1598579,0.006772,0.1796195,0.7987746,0.1660755,0.3805224,0.0612706,0.489842,0.2776413,0.2533937,0.5054274,0.0291723,49540,293,59,0.2556391,-11.03982291,1.643578197,0.793779072,-1.564745836,2.67145965,3.69935662,495
104320,81.71511117,17.17089371,0.247161168,24167,9350.9751,90460,0.1768064,0.2411832,37125,44212,0.0895645,0.0822731,5695,6259,0.4646393,0.5230867,0.3279703,0.3141077,0.0793847,0.0615114,0.2763486,0.2366412,0.3497758,0.0237,0.0314227,0.0197935,138900,397000,6,3,81.7151112,0.0145742,0.0046333,0.0110623,0.0071896,0.0979807,0.06247,0.8677788,0.9247484,0.2,0.283,1655,401,578,1.7,28.9,4.6,10.4,3.9,1290,1219,0.9449612,0.0254307,0.0541427,0.1878589,0.1960623,0.0607055,0.0114848,0.4971288,0.0049221,0.0065628,0.0377358,0.0196883,0.1066448,0.2871206,0.0508614,0.0270714,0.9736434,0.9736434,0.2646891,1063,1040,0.9783631,0.0326923,0.2730769,0.2586538,0.3615385,0.0634615,0.0115385,0.9324961,0,0.0612245,0.0722135,0.2025118,0.5180534,0.1083203,0.0392465,0.9811853,0.9875,17867,0.227124,0.159378,0.006888,0.1796185,0.7986577,0.1658425,0.3807842,0.0614624,0.4897563,0.2772544,0.2531017,0.5052006,0.0289747,90460,534,108,0.464315,-0.847131981,1.807750109,1.253962202,-3.020347713,2.835633662,3.863530635,495
