datazone,Inflow|All people in households|Lived at same address,Inflow|All people in households|Moved within Datazone area,Inflow|All people in households|Inflow (lived elsewhere in Scotland),Inflow|All people in households|Inflow (lived elsewhere outside Scotland but within UK),Inflow|All people in communal establishments|Lived at same address,Inflow|All people in communal establishments|Moved within Datazone area,Inflow|All people in communal establishments|Inflow (lived elsewhere in Scotland),Inflow|All people in communal establishments|Inflow (lived elsewhere outside Scotland but within UK),Outflow to outwith the datazone but to elsewhere in Scotland|Outflow All people in households|,Outflow to outwith the datazone but to elsewhere in Scotland|Outflow All people in communal establishments|,Outflow - Moved to England & Wales All people in households|Outflow - Moved to England & Wales All people in households|,Outflow - Moved to England & Wales All people in communal establishments|Outflow - Moved to England & Wales All people in communal establishments|,Outflow - Moved to NI All people in households|Outflow - Moved to NI All people in households|,Outflow - Moved to NI All people in communal establishments|Outflow - Moved to NI All people in communal establishments|
S01001680,573,-,24,-,-,-,-,-,16,3,6,-,-,-
S01001681,622,1,23,-,-,-,-,-,58,3,3,-,-,-
S01001682,622,2,52,-,-,-,-,-,28,-,3,-,-,-
S01001683,666,4,54,5,-,-,-,-,31,1,6,-,-,-
S01001684,667,13,18,3,-,-,-,-,24,5,6,-,-,-
S01001685,615,1,50,9,-,-,-,-,38,5,3,-,-,-
S01001686,878,-,48,1,6,-,2,-,42,4,3,-,-,-
S01001687,890,2,76,13,-,-,-,-,77,7,10,-,-,-
S01001688,742,7,86,3,-,-,-,-,84,2,3,3,-,-
S01001689,687,-,40,-,-,-,-,-,17,4,3,3,-,-
S01001690,496,6,43,-,-,-,-,-,32,1,22,-,-,-
S01001691,831,2,30,4,-,-,-,-,39,1,6,-,-,-
S01001692,586,-,38,7,28,-,3,-,34,5,6,3,-,-
S01001693,598,8,150,13,-,-,23,15,34,-,4,-,-,-
S01001694,580,4,55,3,-,-,-,-,47,1,3,-,-,-
S01001695,688,3,51,1,-,-,-,-,17,-,3,-,-,-
S01001696,710,7,41,1,-,-,-,-,42,2,3,-,-,-
S01001697,759,1,41,4,-,-,-,-,51,5,10,-,-,-
S01001698,478,3,40,2,-,-,-,-,35,-,-,-,-,-
S01001699,627,-,33,6,-,-,-,-,52,-,6,-,-,-
S01001700,911,-,65,1,-,-,-,-,56,-,-,-,-,-
S01001701,812,12,35,-,28,-,2,-,33,4,-,-,-,-
S01001702,863,1,27,1,44,1,13,-,35,1,11,-,-,-
S01001703,680,3,62,5,-,-,-,-,50,-,11,-,-,-
S01001704,870,6,55,4,-,-,-,-,48,6,21,3,-,-
S01001705,525,5,48,2,-,-,-,-,63,-,-,-,-,-
S01001706,742,5,36,-,-,-,-,-,42,2,-,-,-,-
S01001707,707,6,72,-,-,-,-,-,58,1,-,-,-,-
S01001708,804,4,41,6,57,-,23,-,35,4,7,-,-,-
S01001709,527,7,64,6,-,-,-,-,59,1,7,-,-,-
S01001710,590,6,57,4,-,-,-,-,65,3,12,-,-,-
S01001711,729,-,35,1,-,-,-,-,45,1,3,-,-,-
S01001712,488,-,27,1,-,-,-,-,28,4,3,-,-,-
S01001713,908,3,40,3,-,-,-,-,58,1,6,-,-,-
S01001714,683,-,21,-,-,-,-,-,39,-,3,-,-,-
S01001715,906,-,46,6,-,-,-,-,60,3,5,3,-,-
S01001716,731,14,40,-,-,-,-,-,43,6,3,-,-,-
S01001717,712,6,53,3,-,-,-,-,52,1,4,-,-,-
S01001718,462,1,40,2,-,-,-,-,17,-,9,-,-,-
S01001719,744,-,49,2,-,-,-,-,42,-,-,-,-,-
S01001720,616,10,55,4,-,-,-,-,69,3,14,-,-,-
S01001721,571,-,45,5,9,-,8,-,37,2,15,-,-,-
S01001722,702,2,37,6,-,-,-,-,43,7,12,3,-,-
S01001723,666,9,32,2,-,-,-,-,25,5,7,-,3,-
S01001724,720,2,66,2,-,-,-,-,48,4,3,-,-,-
S01001725,652,11,47,5,-,-,-,-,65,4,-,-,-,-
S01001726,622,1,39,-,-,-,-,-,32,2,3,-,-,-
S01001727,887,-,51,1,-,-,-,-,41,3,6,-,-,-
S01001728,640,7,25,-,-,-,-,-,29,5,-,-,-,-
S01001729,933,-,35,-,-,-,-,-,38,2,3,-,-,-
S01001730,590,-,36,3,-,-,-,-,26,-,10,-,-,-
S01001731,626,-,8,-,-,-,-,-,20,1,-,-,-,-
S01001732,570,-,26,-,-,-,-,-,24,-,6,-,-,-
S01001733,623,2,80,2,11,-,14,-,61,6,3,-,-,-
S01001734,506,-,20,-,-,-,-,-,16,-,3,-,-,-
S01001735,488,-,17,-,-,-,-,-,34,-,3,-,-,-
S01001736,929,7,59,3,-,-,1,-,58,6,20,-,-,-
S01001737,582,4,26,-,-,-,-,-,25,2,-,-,-,-
S01001738,584,4,26,4,-,-,-,-,35,2,3,-,-,-
S01001739,589,-,36,-,-,-,-,-,35,1,-,-,-,-
S01001740,716,16,54,1,-,-,-,-,75,1,3,-,-,-
S01001741,608,1,37,3,-,-,-,-,45,-,3,3,-,-
S01001742,648,21,37,1,-,-,-,-,98,-,3,-,-,-
S01001743,830,12,67,2,-,-,-,-,95,3,-,-,-,-
S01001744,588,-,28,-,-,-,-,-,38,1,3,-,-,-
S01001745,881,-,28,-,-,-,-,-,35,1,3,-,-,-
S01001746,899,-,52,2,43,-,18,-,48,3,4,-,-,-
S01001747,812,1,60,1,-,-,-,-,58,3,-,-,-,-
S01001748,609,-,29,2,-,-,-,-,28,-,-,-,-,-
S01001749,718,1,41,-,-,-,-,-,42,2,3,-,-,-
S01001750,676,7,47,-,-,-,-,-,61,1,6,-,-,-
S01001751,849,8,55,2,-,-,-,-,52,1,6,3,-,-
S01001752,956,-,37,1,-,-,-,-,42,1,3,-,-,-
S01001753,802,3,44,2,-,-,-,-,66,2,-,3,-,-
S01001754,752,13,39,13,-,-,-,-,32,3,3,-,-,-
S01001755,823,4,64,4,12,-,-,-,65,1,24,-,-,-
S01001756,603,2,19,1,28,-,-,-,32,5,-,-,-,-
S01001757,699,9,49,-,-,-,-,-,47,-,6,3,-,-
S01001758,689,2,57,7,-,-,-,-,18,3,6,-,-,-
S01001759,463,2,140,1,-,-,-,-,39,1,-,-,-,-
S01001760,641,-,52,2,-,-,3,-,72,3,6,-,-,-
S01001761,591,8,62,-,15,-,14,-,73,-,3,-,-,-
S01001762,897,1,71,16,-,-,-,-,46,6,7,-,-,-
S01001763,803,-,34,2,-,-,-,-,27,3,4,-,-,-
S01001764,488,-,37,3,-,-,-,-,37,2,3,-,-,-
S01001765,916,3,38,6,29,-,1,-,52,7,7,-,-,-
S01001766,653,3,38,2,-,-,-,-,27,1,4,-,-,-
S01001767,596,-,29,1,-,-,-,-,34,5,-,-,-,-
S01001768,552,5,50,8,-,-,-,-,36,1,6,-,-,-
S01001769,691,-,24,1,-,-,-,-,24,1,-,-,-,-
S01001770,485,11,42,4,-,-,-,-,35,2,-,3,-,-
S01001771,842,1,51,5,-,-,-,-,63,-,6,-,-,-
S01001772,471,-,30,13,17,2,4,-,23,6,8,3,-,-
S01001773,903,-,48,5,-,-,-,-,66,1,19,-,-,-
S01001774,593,-,16,6,6,-,2,-,15,3,9,-,-,-
S01001775,729,-,19,2,-,-,-,-,18,3,3,-,-,-
S01001776,565,-,45,2,-,-,-,-,40,1,15,-,-,-
S01001777,853,1,52,5,10,-,-,-,56,5,3,3,-,-
S01001778,804,7,52,1,37,-,3,-,64,2,3,3,-,-
S01001779,506,-,31,-,-,-,-,-,25,-,-,-,-,-
S01001780,738,3,63,3,-,-,-,-,53,7,4,3,-,-
S01001781,645,2,19,3,-,-,-,-,34,-,3,-,-,-
S01001782,886,3,41,4,-,-,-,-,52,1,-,-,-,-
S01001783,559,11,62,3,-,-,-,-,43,-,-,3,-,-
S01001784,548,2,35,2,-,-,-,-,26,3,3,-,3,-
S01001785,655,2,19,2,-,-,-,-,29,3,-,-,-,-
S01001786,458,9,99,1,42,-,18,-,22,-,-,-,-,-
S01001787,610,-,29,2,-,-,-,-,30,1,3,-,-,-
S01001788,845,2,24,3,-,-,-,-,61,4,3,-,-,-
S01001789,535,8,116,-,-,-,-,-,51,-,3,-,-,-
S01001790,712,-,44,6,-,-,-,-,59,2,11,5,-,-
S01001791,681,10,42,14,-,-,-,-,50,1,6,3,-,-
S01001792,696,3,26,4,3,-,-,-,31,7,6,-,-,-
S01001793,790,4,43,4,1,-,8,-,61,5,3,-,-,-
S01001794,858,5,50,8,-,-,-,-,46,9,7,3,-,-
S01001795,514,-,49,1,262,-,-,44,77,4,24,24,-,-
S01001796,783,-,19,2,-,-,-,-,34,6,12,-,-,-
S01001797,657,2,38,4,-,-,-,-,45,6,-,-,-,-
S01001798,876,-,23,10,-,-,-,-,45,2,3,-,-,-
S01001799,889,27,80,3,19,-,1,-,123,4,3,3,-,-
S01001800,938,8,53,-,-,-,-,-,57,1,6,-,-,-
S01001801,834,-,56,11,36,-,7,-,66,6,19,3,-,-
S01001802,687,6,125,1,-,-,-,-,80,1,6,-,-,-
S01001803,793,26,172,10,-,-,-,-,111,-,8,-,-,-
S01001804,975,5,82,5,-,-,-,-,72,2,3,3,-,-
S01001805,749,3,31,1,-,-,-,-,48,3,3,-,-,-
S01001806,591,-,48,4,11,-,2,-,33,6,-,-,-,-
S01001807,814,3,24,1,-,-,-,-,21,2,3,-,-,-
S01001808,591,-,30,1,3,-,5,-,50,4,-,-,-,-
S01001809,738,8,60,2,9,-,1,-,54,4,-,-,-,-
S01001810,882,6,52,3,-,-,-,-,75,4,-,-,-,-
S01001811,674,5,30,5,-,-,-,-,34,-,11,3,-,-
S01001812,528,-,33,5,-,-,-,-,38,1,-,3,8,-
S01001813,667,1,43,4,-,-,-,-,43,3,3,3,-,-
S01001814,560,7,69,110,-,-,-,-,71,-,25,3,51,-
S01001815,822,-,51,-,-,-,-,-,37,1,11,-,-,-
S01001816,928,2,123,17,-,-,-,-,72,4,8,3,3,-
S01001817,650,1,40,1,-,-,-,-,37,2,3,3,-,-
S01001818,731,2,31,1,-,-,-,-,39,4,9,-,-,-
S01001819,959,6,57,6,-,-,-,-,59,2,18,3,6,-
S01001820,752,3,43,1,-,-,-,-,113,4,3,-,-,-
S01001821,281,2,47,166,-,-,-,-,72,1,86,-,172,3
S01001822,936,5,52,1,7,-,8,-,75,3,3,-,-,-
S01001823,855,15,125,8,39,-,12,1,97,6,3,-,-,-
S01001824,727,-,52,1,-,-,-,-,37,3,13,-,-,-
S01001825,737,-,70,5,-,-,-,-,69,1,7,-,-,-
S01001826,796,11,137,12,-,-,-,-,149,1,3,-,-,-
S01001827,916,6,91,3,19,-,-,6,58,5,7,-,6,-
S01001828,755,2,30,1,-,-,-,-,45,6,-,-,-,-
S01001829,607,6,78,4,-,-,-,-,30,7,-,3,-,-
S01001830,880,-,39,11,-,-,-,-,52,6,14,3,4,-
S01001831,721,-,36,3,-,-,-,-,36,3,-,-,-,-
S01001832,635,2,40,-,-,-,-,-,47,3,10,-,-,-
S01001833,894,2,60,3,-,-,-,-,86,2,24,3,-,3
S01001834,524,2,47,-,-,-,-,-,26,1,-,3,-,-
S01001835,522,7,61,38,-,-,-,-,63,2,44,7,24,6
S01001836,670,1,42,1,14,-,10,-,50,2,3,-,-,-
S01001837,846,11,60,6,-,-,-,-,61,8,7,3,-,-
S01001838,542,-,41,-,-,-,-,-,31,-,3,-,-,-
S01001839,833,12,69,5,33,-,2,-,77,3,-,-,-,-
S01001840,678,-,51,3,-,-,-,-,70,2,10,-,-,-
S01001841,677,-,56,3,-,-,-,-,49,1,-,-,-,-
S01001842,683,5,55,7,39,-,17,-,77,-,3,-,-,-
S01001843,692,2,47,8,-,-,-,-,76,1,3,-,-,-
S01001844,1037,3,46,4,292,49,591,266,621,6,74,11,8,3
S01001845,812,4,26,2,-,-,-,-,45,2,17,-,-,-
S01001846,868,3,61,6,-,-,-,-,64,5,6,3,-,-
S01001847,752,3,38,4,16,4,4,-,161,14,3,-,-,3
S01001848,730,-,53,3,-,-,-,-,58,3,7,3,-,-
S01001849,563,-,39,13,13,-,2,-,52,4,8,3,-,-
S01001850,708,5,68,-,-,-,-,-,90,2,4,-,-,-
S01001851,639,-,103,8,26,-,8,-,48,2,5,-,-,-
S01001852,768,-,36,1,-,-,-,-,36,9,3,-,-,-
S01001853,719,-,53,3,-,-,-,-,34,1,3,-,-,-
S01001854,726,18,89,103,38,-,17,257,104,15,80,9,91,279
S01001855,649,5,72,23,2,-,-,-,67,18,13,-,-,-
S01001856,573,6,58,5,-,-,-,-,72,6,3,-,-,-
S01001857,752,2,46,1,2,-,2,-,53,6,6,4,-,-
S01001858,736,1,43,6,77,-,22,-,55,7,9,3,-,-
S01001859,906,2,53,-,-,-,-,-,65,4,-,3,-,-
S01001860,731,4,47,13,197,-,34,17,64,6,10,7,6,-
S01001861,868,4,117,6,1,-,4,-,109,6,9,-,-,-
S01001862,860,4,38,7,-,-,-,-,59,-,9,-,-,-
S01001863,859,4,50,3,-,-,-,-,70,5,3,-,-,-
S01001864,682,38,132,5,26,-,6,-,95,5,-,-,-,-
S01001865,600,7,95,3,-,-,-,-,84,3,6,-,-,-
S01001866,663,5,32,2,-,-,-,-,40,2,5,3,-,-
S01001867,498,-,45,3,-,-,-,-,28,2,-,-,-,-
S01001868,621,6,39,3,-,-,-,-,41,65,-,-,-,-
S01001869,764,5,70,3,-,-,-,-,44,5,9,4,-,-
S01001870,648,8,74,3,-,-,-,-,31,-,3,-,-,-
S01001871,750,4,85,19,3,-,1,-,53,1,-,-,3,-
S01001872,679,2,47,5,64,-,8,-,61,6,3,-,-,-
S01001873,689,-,43,8,46,-,18,-,38,9,3,3,-,-
S01001874,609,3,99,4,-,-,-,-,90,4,11,3,-,-
S01001875,842,1,32,4,-,-,-,-,32,3,4,-,-,-
S01001876,978,1,61,8,-,-,-,-,72,4,8,3,-,-
S01001877,911,-,69,4,-,-,-,-,88,5,-,-,-,-
S01001878,994,-,55,12,-,-,-,-,92,5,16,4,-,-
S01001879,580,15,70,9,-,-,-,-,75,2,6,-,-,-
S01001880,650,12,68,5,-,-,-,-,95,2,3,3,-,-
S01001881,633,-,30,7,-,-,-,-,33,4,10,-,15,-
S01001882,633,15,86,5,-,-,-,-,83,1,6,-,-,-
S01001883,508,8,26,18,-,-,-,-,42,1,14,4,-,-
S01001884,903,3,73,7,-,-,-,-,50,5,3,-,-,-
S01001885,980,6,54,8,31,-,9,-,36,4,7,3,6,-
S01001886,552,1,45,1,-,-,-,-,40,1,-,-,-,-
S01001887,819,9,52,6,-,-,-,-,44,3,19,-,-,-
S01001888,827,9,55,14,-,-,-,-,126,9,6,-,-,-
S01001889,525,-,38,2,-,-,-,-,57,4,9,-,-,-
S01001890,806,1,113,4,-,-,-,-,39,3,6,-,-,-
S01001891,601,3,45,11,-,-,-,-,34,3,14,-,-,-
S01001892,655,5,88,12,-,-,-,-,122,9,4,-,-,-
S01001893,836,5,83,9,24,-,10,-,92,2,6,-,-,-
S01001894,636,13,78,12,-,-,-,-,78,2,3,-,-,-
S01001895,664,1,83,6,-,-,-,-,57,2,17,-,-,-
S01001896,759,1,59,21,-,-,-,-,52,5,6,-,-,-
S01001897,736,8,127,7,-,-,-,-,114,4,11,-,-,-
S01001898,586,5,51,6,-,-,-,-,55,4,-,-,-,-
S01001899,724,5,52,4,-,-,-,-,68,3,-,-,3,-
S01001900,782,1,44,5,-,-,-,-,43,1,3,-,-,-
S01001901,843,3,65,11,32,2,24,-,78,10,10,4,-,-
S01001902,768,4,101,13,-,-,-,-,126,8,19,3,-,-
S01001903,537,-,44,1,-,-,-,-,41,5,3,-,-,-
S01001904,588,1,42,5,-,-,-,-,48,-,-,-,-,3
S01001905,773,5,106,22,-,-,-,-,87,8,27,-,3,-
S01001906,780,17,77,11,22,-,1,-,136,5,7,-,-,-
S01001907,743,-,49,1,-,-,-,-,59,4,3,-,-,-
S01001908,702,5,69,16,21,-,5,4,92,3,26,3,-,-
S01001909,608,3,52,3,-,-,-,-,93,4,6,-,-,-
S01001910,690,1,58,7,-,-,-,-,78,1,8,-,-,-
S01001911,707,3,39,2,-,-,-,-,48,5,3,3,-,-
S01001912,727,9,51,2,-,-,-,-,65,4,-,-,-,-
S01001913,733,1,113,107,-,-,-,-,54,2,7,-,6,-
S01001914,528,-,40,8,15,-,4,-,31,6,6,3,-,-
S01001915,780,-,54,6,4,-,-,-,53,3,6,3,-,-
S01001916,618,6,160,9,-,-,-,-,114,17,26,5,-,-
S01001917,584,-,45,10,57,-,16,1,53,4,17,3,-,-
S01001918,615,8,185,21,-,-,-,-,165,3,14,-,3,-
S01001919,847,2,57,-,-,-,-,-,55,5,3,-,-,-
S01001920,653,1,58,3,-,-,-,-,34,5,-,-,-,-
S01001921,557,3,37,4,-,-,-,-,50,2,3,-,3,-
S01001922,755,1,22,3,-,-,-,-,35,4,3,-,-,-
S01001923,681,5,77,7,-,-,-,-,56,2,3,-,-,-
S01001924,621,3,82,6,-,-,-,-,57,6,12,-,-,-
S01001925,704,5,63,5,7,-,6,-,68,3,11,4,-,-
S01001926,698,10,65,6,-,-,-,-,109,4,-,-,-,-
S01001927,749,-,67,22,36,3,14,-,49,10,19,5,-,-
S01001928,571,2,161,22,220,1,96,-,142,13,25,3,-,-
S01001929,704,-,41,5,-,-,-,-,28,5,4,3,-,-
S01001930,550,3,171,21,-,-,-,-,122,6,23,3,-,-
S01001931,700,5,45,4,-,-,-,-,88,3,6,3,-,-
S01001932,943,2,38,-,144,-,202,8,129,59,-,3,-,-
S01001933,858,-,40,3,-,-,-,-,68,2,3,-,-,-
S01001934,689,4,78,3,-,-,-,-,60,7,-,-,-,-
S01001935,625,18,67,10,-,-,-,-,53,1,3,-,-,-
S01001936,845,8,107,24,-,-,-,-,78,3,6,-,-,-
S01001937,809,3,82,4,-,-,-,-,76,1,7,3,-,-
S01001938,403,2,121,19,30,-,8,-,102,5,25,-,-,-
S01001939,404,5,143,11,-,-,-,-,101,3,19,3,-,-
S01001940,603,3,96,15,-,-,-,-,88,2,8,-,-,-
S01001941,704,9,86,9,84,-,15,5,107,10,23,8,-,-
S01001942,410,1,111,20,-,-,-,-,86,4,12,-,-,-
S01001943,552,4,55,3,-,-,-,-,52,1,-,-,-,-
S01001944,521,3,54,12,66,2,90,-,62,38,11,3,-,9
S01001945,597,4,63,6,31,1,15,-,47,-,12,-,-,-
S01001946,700,6,123,6,-,-,-,-,132,3,3,-,-,-
S01001947,655,3,80,22,50,-,19,1,82,12,15,4,-,-
S01001948,635,19,99,11,-,-,-,-,106,5,6,-,6,-
S01001949,556,1,149,14,-,-,-,-,40,3,-,-,-,-
S01001950,769,2,126,2,-,-,-,-,77,1,15,-,3,-
S01001951,686,2,72,4,46,1,9,1,38,10,6,-,-,-
S01001952,650,1,80,19,-,-,-,-,87,9,13,3,7,-
S01001953,618,9,125,16,5,-,1,-,132,6,28,-,-,-
S01001954,467,1,31,-,-,-,-,-,37,-,4,-,3,-
S01001955,749,-,49,-,-,-,-,-,49,6,5,-,-,-
S01001956,710,3,73,3,-,-,-,-,50,1,-,-,-,-
S01001957,711,10,67,1,4,-,1,-,60,5,-,-,-,-
S01001958,712,5,146,7,-,-,-,-,95,7,12,3,3,-
S01001959,596,-,23,5,-,-,-,-,19,2,6,-,-,-
S01001960,693,5,133,16,-,-,-,-,142,4,19,6,3,-
S01001961,792,2,113,21,5,-,1,-,107,4,19,-,3,-
S01001962,757,2,64,10,-,-,-,-,64,4,3,-,-,-
S01001963,635,-,101,19,-,-,-,-,98,7,11,-,-,-
S01001964,686,8,77,6,-,-,-,-,92,1,6,-,-,-
S01001965,728,4,86,-,8,-,-,-,79,4,-,-,-,-
S01001966,687,15,55,3,6,-,-,-,60,2,7,3,-,-
S01001967,595,-,70,6,-,-,-,-,102,-,9,-,-,-
S01001968,635,2,96,21,43,-,16,6,97,3,19,-,-,-
S01001969,588,-,54,3,-,-,-,-,72,6,-,-,-,-
S01001970,538,-,26,3,35,-,5,-,29,6,12,4,-,-
S01001971,670,1,85,12,-,-,-,-,46,5,6,3,-,-
S01001972,659,2,81,13,-,-,-,-,74,5,4,-,4,-
S01001973,651,-,45,4,-,-,-,-,55,2,-,3,-,-
S01001974,561,7,163,25,16,-,13,-,206,4,19,-,3,-
S01001975,669,2,143,17,-,-,-,-,104,9,25,6,-,-
S01001976,556,2,173,9,-,-,-,-,173,4,18,-,3,-
S01001977,683,-,51,8,30,-,5,-,36,8,6,-,-,-
S01001978,457,34,278,8,4,1,5,4,27,1,3,-,-,-
S01001979,488,3,101,23,49,3,18,-,99,62,18,4,3,-
S01001980,537,8,111,21,-,-,-,-,141,-,6,-,-,-
S01001981,626,2,136,19,-,-,-,-,130,2,14,-,-,-
S01001982,465,12,44,7,-,-,-,-,78,4,3,-,12,-
S01001983,536,3,159,19,12,-,10,-,139,-,31,-,-,-
S01001984,329,6,181,4,5,-,2,-,61,2,9,-,-,-
S01001985,690,6,81,-,-,-,-,-,95,2,6,-,-,-
S01001986,424,6,156,16,-,-,-,-,91,2,18,-,3,-
S01001987,445,14,295,37,-,-,-,-,207,5,51,-,3,-
S01001988,723,-,61,3,-,-,-,-,80,5,-,-,-,-
S01001989,813,4,57,1,-,-,-,-,75,1,7,3,-,-
S01001990,600,4,257,62,6,-,4,-,251,4,33,3,-,-
S01001991,729,3,59,1,-,-,-,-,76,-,-,-,3,-
S01001992,672,5,101,19,27,-,56,1,119,5,16,6,-,-
S01001993,605,5,120,14,2,-,3,-,118,8,11,3,-,-
S01001994,571,6,199,34,-,-,-,-,232,6,13,-,7,-
S01001995,609,6,62,8,-,-,-,-,68,-,3,3,-,-
S01001996,558,1,308,35,-,-,-,-,228,4,45,3,3,-
S01001997,643,3,74,15,-,-,-,-,81,7,6,-,-,-
S01001998,654,-,59,3,-,-,-,-,68,4,6,-,-,-
S01001999,366,10,319,28,-,-,-,-,216,3,55,-,-,-
S01002000,696,3,53,5,-,-,-,-,97,1,3,-,-,-
S01002001,586,1,134,18,-,-,-,-,171,3,23,4,-,-
S01002002,395,4,281,26,-,-,-,-,180,6,42,3,-,-
S01002003,760,5,53,5,-,-,1,-,71,-,6,-,3,-
S01002004,576,5,180,13,-,-,-,-,113,6,18,-,-,-
S01002005,748,-,45,1,-,-,-,-,44,8,-,-,-,-
S01002006,852,8,71,1,-,-,-,-,58,-,6,-,-,-
S01002007,724,3,161,22,-,-,-,-,130,4,11,-,3,-
S01002008,619,9,172,23,-,-,-,-,158,7,43,-,-,-
S01002009,558,4,166,33,-,-,-,-,151,3,27,4,-,-
S01002010,336,1,140,23,-,-,-,-,118,2,28,-,3,-
S01002011,998,2,76,7,-,-,-,-,90,-,7,-,-,-
S01002012,547,-,189,15,-,-,-,-,162,6,15,-,3,-
S01002013,598,1,151,29,-,-,-,-,127,8,40,6,3,-
S01002014,483,4,236,20,3,-,37,-,206,5,38,-,-,-
S01002015,889,-,38,2,-,-,-,-,29,2,3,-,-,-
S01002016,394,-,118,17,-,-,-,-,109,3,13,-,-,-
S01002017,996,16,61,6,36,-,19,-,57,13,-,-,-,-
S01002018,788,-,41,3,-,-,-,-,76,1,-,-,-,-
S01002019,425,11,297,27,-,-,-,-,225,3,46,3,5,-
S01002020,197,1,163,92,-,-,-,-,179,1,19,3,-,-
S01002021,886,1,71,4,-,-,-,-,59,4,7,-,-,-
S01002022,709,1,46,8,-,-,-,-,58,4,3,-,-,-
S01002023,507,5,186,31,-,-,-,-,162,23,33,3,9,-
S01002024,532,2,159,26,5,-,1,-,126,1,29,-,-,-
S01002025,604,10,162,24,-,-,-,-,160,4,22,-,-,-
S01002026,689,6,36,5,-,-,-,-,44,3,3,-,-,-
S01002027,560,22,354,42,-,-,-,-,278,7,74,-,4,-
S01002028,399,43,166,116,129,10,597,902,1695,7,54,18,3,-
S01002029,423,15,263,22,-,-,-,-,208,2,61,-,6,-
S01002030,559,6,158,24,-,-,-,-,150,10,25,-,-,-
S01002031,528,6,103,15,-,-,-,-,110,5,21,3,-,-
S01002032,531,10,192,18,-,-,-,-,148,10,23,-,4,-
S01002033,548,5,175,14,-,-,-,-,175,6,19,-,-,-
S01002034,529,3,324,60,-,-,-,-,296,4,43,-,-,-
S01002035,713,1,46,6,-,-,-,-,45,2,9,-,-,-
S01002036,596,7,192,15,-,-,-,-,199,8,6,3,-,-
S01002037,420,7,205,14,-,-,-,-,160,3,58,3,3,-
S01002038,378,10,182,79,-,-,-,-,204,2,39,4,3,-
S01002039,549,1,71,8,2,-,-,-,35,1,6,-,-,-
S01002040,380,2,112,17,-,-,-,-,128,7,9,-,-,-
S01002041,614,11,198,30,31,-,21,2,187,4,29,-,3,3
S01002042,842,3,80,5,-,-,-,-,53,8,3,-,3,-
S01002043,739,-,32,6,-,-,-,-,36,6,3,-,-,-
S01002044,589,13,90,10,-,-,-,-,94,4,-,-,-,-
S01002045,556,2,173,24,91,-,19,-,77,1,3,-,-,-
S01002046,434,5,108,11,-,-,-,-,106,1,16,-,4,-
S01002047,494,1,162,21,54,-,7,1,149,7,26,-,-,-
S01002048,434,16,288,62,-,-,-,-,270,2,34,5,-,-
S01002049,656,11,324,53,-,-,-,-,289,9,53,7,9,-
S01002050,670,-,30,4,5,-,-,-,31,2,4,6,-,-
S01002051,762,-,49,7,-,-,-,-,43,4,6,-,-,-
S01002052,516,4,172,21,-,-,-,-,161,4,16,3,3,-
S01002053,386,5,255,37,-,-,-,-,202,7,30,3,3,-
S01002054,423,5,186,85,-,-,-,-,203,14,25,3,-,-
S01002055,795,2,50,5,14,-,31,4,87,4,10,3,-,-
S01002056,875,4,57,3,-,-,-,-,38,2,3,-,-,-
S01002057,765,8,79,3,-,-,-,-,56,7,-,-,-,-
S01002058,478,1,144,20,-,-,-,-,118,6,18,3,-,-
S01002059,492,2,172,22,-,-,-,-,137,5,10,-,3,-
S01002060,411,7,258,22,-,-,-,-,178,5,38,6,3,-
S01002061,454,4,170,17,-,-,-,-,147,5,18,-,-,-
S01002062,567,5,52,-,-,-,-,-,62,2,-,-,-,-
S01002063,500,15,366,55,2,-,-,-,322,4,24,-,3,3
S01002064,642,6,165,33,-,-,-,-,103,13,12,-,3,-
S01002065,559,3,153,20,-,-,-,-,172,3,25,4,-,-
S01002066,413,21,174,28,5,-,7,1,159,4,22,5,3,-
S01002067,708,-,75,22,-,-,-,-,78,12,5,3,-,-
S01002068,570,3,225,34,-,-,-,-,202,6,20,3,-,-
S01002069,501,-,51,17,18,-,11,-,64,2,-,-,-,-
S01002070,463,3,146,20,-,-,-,-,109,2,18,3,4,-
S01002071,398,2,228,19,-,-,-,-,125,2,31,3,-,-
S01002072,941,8,130,14,-,-,-,-,143,5,22,-,-,-
S01002073,482,5,115,11,-,-,-,-,142,1,3,-,8,-
S01002074,644,-,15,1,-,-,-,-,33,3,5,-,-,-
S01002075,670,3,154,28,-,-,-,-,138,3,8,-,3,-
S01002076,535,2,221,27,4,-,8,-,194,1,16,-,-,-
S01002077,749,5,48,25,-,-,-,-,52,5,20,-,-,-
S01002078,884,-,57,2,-,-,-,-,85,7,-,-,-,-
S01002079,541,3,166,25,1,-,-,-,152,3,18,-,-,-
S01002080,926,1,42,6,4,-,-,-,62,5,6,-,-,-
S01002081,479,7,132,30,-,-,-,-,124,4,26,3,-,-
S01002082,685,4,90,28,-,-,-,-,120,5,12,-,-,-
S01002083,504,1,37,2,-,-,-,-,21,1,-,3,-,-
S01002084,291,-,211,27,-,-,-,-,62,8,6,-,-,-
S01002085,292,12,310,74,-,-,-,-,231,1,9,-,-,3
S01002086,329,7,160,11,7,-,2,4,152,2,43,3,3,-
S01002087,675,19,288,24,-,-,-,-,226,5,57,-,3,-
S01002088,800,8,53,-,39,-,3,-,46,7,-,3,-,-
S01002089,934,-,43,5,-,-,-,2,54,8,6,-,-,-
