datazone,Inflow|All people in households|Lived at same address,Inflow|All people in households|Moved within Datazone area,Inflow|All people in households|Inflow (lived elsewhere in Scotland),Inflow|All people in households|Inflow (lived elsewhere outside Scotland but within UK),Inflow|All people in communal establishments|Lived at same address,Inflow|All people in communal establishments|Moved within Datazone area,Inflow|All people in communal establishments|Inflow (lived elsewhere in Scotland),Inflow|All people in communal establishments|Inflow (lived elsewhere outside Scotland but within UK),Outflow to outwith the datazone but to elsewhere in Scotland|Outflow All people in households|,Outflow to outwith the datazone but to elsewhere in Scotland|Outflow All people in communal establishments|,Outflow - Moved to England & Wales All people in households|Outflow - Moved to England & Wales All people in households|,Outflow - Moved to England & Wales All people in communal establishments|Outflow - Moved to England & Wales All people in communal establishments|,Outflow - Moved to NI All people in households|Outflow - Moved to NI All people in households|,Outflow - Moved to NI All people in communal establishments|Outflow - Moved to NI All people in communal establishments|
S01000086,545,1,103,18,41,-,6,3,110,7,15,-,-,-
S01000087,506,2,45,7,40,1,141,19,189,6,10,4,-,-
S01000088,442,2,138,25,12,-,6,-,58,7,26,3,-,-
S01000089,839,14,82,6,29,-,11,1,43,4,6,-,-,-
S01000090,647,3,106,10,-,-,-,-,146,3,21,-,-,-
S01000091,643,11,209,22,56,-,9,2,155,8,15,7,-,-
S01000092,571,5,237,22,-,-,-,-,163,4,21,3,-,-
S01000093,408,1,120,4,1,-,12,-,122,6,14,-,-,-
S01000094,381,7,150,23,-,-,-,-,115,1,29,-,-,-
S01000095,553,3,124,14,-,-,-,-,132,6,18,-,-,-
S01000096,661,-,33,5,-,-,-,-,32,3,3,-,-,-
S01000097,816,-,100,22,27,-,11,1,99,14,31,-,-,-
S01000098,601,12,240,30,80,-,27,-,244,6,19,9,-,-
S01000099,689,3,59,6,-,-,-,-,38,3,6,3,-,-
S01000100,460,13,180,21,36,-,29,-,178,5,24,-,-,-
S01000101,709,3,117,28,-,-,-,-,129,10,30,-,-,-
S01000102,617,-,111,10,-,-,-,-,105,3,14,-,-,-
S01000103,424,4,148,20,-,-,-,-,90,4,25,-,-,-
S01000104,716,1,69,6,28,-,16,-,50,9,3,3,-,-
S01000105,771,5,92,9,-,-,-,-,74,1,-,3,-,-
S01000106,581,-,69,18,-,-,-,-,76,7,15,4,-,-
S01000107,628,6,217,27,-,-,-,-,189,7,30,7,3,-
S01000108,526,3,98,9,30,-,27,-,88,8,15,-,3,-
S01000109,653,8,191,13,6,-,4,-,200,10,29,-,-,-
S01000110,747,5,45,2,19,-,1,-,40,11,6,-,-,-
S01000111,603,2,105,13,8,-,-,-,87,2,8,4,-,-
S01000112,790,15,143,10,-,-,-,-,109,2,11,-,3,-
S01000113,464,5,51,5,-,-,-,-,60,2,19,-,6,-
S01000114,580,2,45,-,88,1,155,3,111,23,4,-,-,-
S01000115,801,7,58,2,-,-,-,-,62,2,3,-,-,-
S01000116,657,2,193,25,6,-,2,-,177,4,32,3,-,-
S01000117,876,-,90,7,50,1,16,2,105,14,12,3,-,-
S01000118,621,1,49,2,25,-,5,-,67,2,7,-,-,-
S01000119,602,3,159,11,-,-,-,-,137,4,9,-,3,-
S01000120,437,1,120,6,-,-,-,-,83,9,6,-,3,-
S01000121,714,1,38,1,21,-,15,-,44,5,-,-,-,-
S01000122,684,9,68,1,-,-,-,-,53,3,3,-,-,-
S01000123,585,-,42,6,-,-,-,-,31,3,16,-,-,-
S01000124,664,8,241,29,-,-,-,-,192,17,26,-,-,-
S01000125,650,16,248,13,-,-,-,-,278,4,9,-,-,-
S01000126,669,3,172,5,2,-,4,-,163,2,23,3,-,-
S01000127,745,4,36,6,-,-,-,-,43,5,23,3,-,-
S01000128,654,43,199,15,94,5,395,30,544,21,26,3,-,-
S01000129,258,5,256,13,-,-,-,-,240,2,15,3,-,-
S01000130,662,5,167,9,-,-,-,-,123,5,18,-,3,-
S01000131,547,3,88,13,-,-,-,-,69,4,11,-,-,-
S01000132,585,6,152,14,8,-,-,-,154,2,24,-,3,-
S01000133,663,2,64,8,-,-,-,-,40,1,4,-,-,-
S01000134,716,1,44,1,-,-,-,-,59,8,10,-,-,-
S01000135,636,6,72,4,-,-,-,-,79,3,3,-,-,-
S01000136,662,1,34,4,-,-,-,-,71,3,-,-,-,-
S01000137,580,4,172,17,-,-,-,-,153,2,26,-,-,-
S01000138,568,7,212,9,10,2,5,-,152,8,31,3,-,-
S01000139,768,-,46,-,-,-,-,-,36,-,14,-,-,-
S01000140,890,2,48,3,-,-,-,-,57,3,-,-,-,-
S01000141,687,1,105,21,30,1,59,11,148,11,29,7,6,-
S01000142,707,-,60,-,-,-,-,-,66,5,9,-,-,-
S01000143,590,2,20,7,-,-,-,-,42,2,9,-,-,-
S01000144,328,6,161,3,3,-,10,4,130,13,21,-,3,-
S01000145,851,2,47,4,-,-,-,-,58,5,-,-,-,-
S01000146,768,15,250,16,3,-,1,-,235,9,39,3,3,-
S01000147,517,2,139,4,42,-,22,-,160,14,13,3,4,-
S01000148,644,2,45,3,-,-,-,-,59,4,-,-,-,-
S01000149,737,3,245,12,-,-,-,-,173,5,27,3,-,-
S01000150,583,1,50,2,-,-,-,-,60,5,-,-,-,-
S01000151,844,3,56,4,-,-,-,-,36,5,3,-,-,-
S01000152,693,5,109,15,214,-,32,2,129,36,12,-,3,-
S01000153,461,3,114,6,-,-,-,-,83,2,16,4,-,-
S01000154,529,5,23,-,-,-,-,-,21,2,3,-,-,-
S01000155,744,1,36,3,-,-,-,-,30,2,-,-,-,-
S01000156,723,3,207,14,3,-,-,-,169,6,35,-,-,-
S01000157,646,2,71,5,15,-,10,-,69,5,3,-,-,-
S01000158,868,-,63,1,-,-,-,-,49,3,3,-,-,-
S01000159,814,3,105,6,40,-,18,-,95,3,14,-,-,-
S01000160,771,-,39,3,-,-,-,-,39,-,-,-,-,-
S01000161,687,20,223,15,-,-,1,-,191,8,23,4,-,-
S01000162,799,8,74,4,-,-,-,-,71,6,-,-,-,-
S01000163,960,-,60,2,-,-,-,-,63,2,-,3,-,-
S01000164,472,1,65,3,-,-,-,-,48,8,10,-,-,-
S01000165,778,2,75,2,-,-,-,-,67,6,3,-,3,-
S01000166,744,14,240,23,30,2,25,14,250,12,64,3,5,-
S01000167,669,6,35,2,-,-,-,-,30,2,-,-,-,-
S01000168,907,1,45,1,2,-,-,-,61,2,-,-,-,-
S01000169,698,6,46,-,10,-,1,-,52,2,3,-,-,-
S01000170,679,9,320,11,-,-,4,-,177,5,23,3,-,-
S01000171,726,4,154,-,-,-,-,-,59,-,8,-,-,-
S01000172,481,-,18,2,-,-,-,-,15,1,3,-,-,-
S01000173,727,5,74,2,-,-,-,-,60,10,-,-,-,-
S01000174,683,14,131,12,-,-,-,-,71,-,3,-,-,-
S01000175,387,-,132,4,-,-,-,-,98,4,7,3,-,-
S01000176,418,5,233,11,15,-,42,10,173,3,23,3,3,-
S01000177,477,-,65,5,-,-,-,-,78,1,10,-,-,-
S01000178,723,-,32,4,-,-,-,-,35,1,-,-,-,-
S01000179,703,3,43,3,-,-,-,-,78,10,3,-,-,-
S01000180,640,1,31,3,16,-,1,-,36,2,3,3,-,-
S01000181,613,8,32,1,-,-,-,-,73,3,-,-,-,-
S01000182,817,-,52,4,-,-,-,-,63,1,-,3,-,-
S01000183,711,38,180,6,10,-,32,-,318,16,40,3,-,-
S01000184,665,3,109,7,-,-,-,-,73,7,7,-,-,-
S01000185,647,12,114,6,2,-,3,-,63,9,14,-,-,-
S01000186,895,2,55,3,-,-,-,-,59,6,3,3,3,-
S01000187,675,1,37,-,-,-,-,-,40,19,-,-,-,-
S01000188,559,18,141,20,20,3,232,38,284,18,25,-,-,-
S01000189,576,1,46,-,-,-,-,-,53,1,6,-,-,-
S01000190,824,3,60,-,-,-,-,-,56,4,6,3,-,-
S01000191,706,8,144,6,70,18,86,2,116,7,14,-,-,-
