"","area","prop_rents","median_value"
"79",113234,0.5455163,203700
"80",113303,0.132321,230800
"81",113321,0.7281006,162200
"82",113322,0.1069837,278100
"83",113401,0.2401235,194900
"84",113421,0.7713568,187500
"85",113422,0.4858223,182800
"86",115101,0.0665468,405900
"87",115102,0.6622163,308900
"88",115201,0.7205882,249900
"89",115202,0.5888352,199500
"90",115301,0.2778153,304200
"91",115302,0.6959526,190200
"92",115401,0.6073775,305700
"93",115402,0.6378466,195300
"94",117100,0.3247536,176100
"95",117200,0.4087464,218500
"96",117301,0.1101068,210800
"97",117302,0.2470657,243600
"98",117303,0.1344032,207200
"99",117404,0.2364493,219500
"100",117405,0.9107856,97900
"101",117406,0.9130692,170800
"102",117510,0.8378631,123500
"103",117520,0.823804,162800
"104",117530,0.7268878,105700
"105",119000,0.1642547,153300
"106",119100,0.2461538,139800
"107",119200,0.3942918,157900
"108",119310,0.3372503,99200
"109",119320,0.7288694,153100
"110",119330,0.5580264,115400
"111",119340,0.8038251,149400
"112",119400,0.1192661,152700
"113",119700,0.1272878,163100
"114",119800,0.2001445,154900
"115",119900,0.2637157,153000
"116",120010,0.5351288,140800
"117",120020,0.773842,161200
"118",120101,0.8607229,160100
"119",120102,0.8248487,113900
"120",120300,0.3084649,145800
"121",120400,0.5790993,169100
"122",121010,0.28125,165600
"123",121020,0.4326531,157300
"124",121100,0.3039935,155000
"125",121210,0.5390625,156400
"126",121220,0.2879121,157100
"127",121600,0.1290323,186200
"128",121800,0.5183098,153600
"129",121900,0.391182,161700
"130",122000,0.2647672,179600
"131",122110,0.6707224,137100
"132",122120,0.4011407,153300
"133",122200,0.5448937,145200
"134",122410,0.9029779,159300
"135",122420,0.6278713,160800
"136",123010,0.6301507,148100
"137",123020,0.3785617,143100
"138",123103,0.6227586,151300
"139",123104,0.7325581,173100
"140",123203,0.824186,157000
"141",123204,0.843292,186700
"142",123205,0.7722908,161900
"143",123206,0.7660292,149600
"144",123301,0.537062,170300
"145",123303,0.6512936,167300
"146",123304,0.7150537,185300
"147",123410,0.7438541,174800
"148",123420,0.628752,170200
"149",123510,0.6920943,231600
"150",123520,0.6769912,202500
"151",123601,0.5892162,232200
"152",123602,0.5539178,250000
"153",123700,0.4695534,184600
"154",123800,0.6408451,256900
"155",123900,0.6107931,193500
"156",124000,0.4828109,366700
"157",124101,0.796521,153400
"158",124102,0.7788141,207900
"159",124201,0.4578097,165400
"160",124202,0.7783754,142900
"161",124300,0.671307,167400
"162",124400,0.5505142,285300
"163",124500,0.4965517,300000
"164",124600,0.4746269,321000
"165",124700,0.5089369,364600
"166",124901,0.8708278,224300
"167",125100,0.7424029,323500
"168",125200,0.677556,281800
"169",125310,0.712297,186900
"170",125320,0.9483541,130300
"171",125400,0.8730926,274300
"172",125500,0.7875363,271700
"173",125600,0.4467532,379200
"174",127101,0.6944072,179500
"175",127102,0.6634616,180400
"176",127210,0.7176005,171000
"177",127220,0.7463813,164900
"178",127300,0.7210374,178700
"179",127400,0.7070313,171700
"180",127510,0.5339039,171800
"181",127601,0.8326633,222900
"182",127602,0.7619287,173200
"183",127710,0.7088107,233200
"184",127801,0.7397959,172500
"185",127802,0.7475862,183000
"186",127910,0.8276567,182100
"187",127920,0.6284585,183900
"188",128100,0.7059292,190000
"189",128210,0.9538568,122800
"190",128220,0.6965047,201600
"191",128302,0.7955927,141800
"192",128303,0.9118738,112500
"193",128400,0.5104603,212000
"194",128500,0.6377467,261900
"195",128600,0.6181521,278300
"196",128702,0.65,304700
"197",128800,0.6972191,269400
"198",128910,0.5609756,273700
"199",131010,0.7294485,207800
"200",131020,0.4752282,162800
"201",131100,0.1803435,179300
"202",131200,0.2098881,184500
"203",131300,0.2194719,169300
"204",131400,0.4591121,166300
"205",131600,0.2470845,175800
"206",131700,0.5118694,158100
"207",131800,0.5203366,166800
"208",131900,0.2304251,167100
"209",132000,0.3019213,191100
"210",132100,0.5042564,180300
"211",132300,0.6264648,167500
"212",132500,0.4942675,149400
"213",132700,0.4517696,180200
"214",132900,0.3776388,225900
"215",133000,0.2564544,160000
"216",133100,0.5009074,201700
"217",134000,0.5624665,168000
"218",134101,0.3206052,211900
"219",134103,0.3302892,191700
"220",134104,0.5525451,254500
"221",134201,0.2859604,191100
"222",134302,0.1480879,216500
"223",134303,0.2604736,186400
"224",134304,0.2232893,215700
"225",134306,0.7829861,188200
"226",134401,0.075481,370500
"227",134421,0.0481752,331300
"228",134422,0.1269943,261800
"229",134510,0.8290889,153200
"230",134520,0.8318318,115700
"231",134710,0.760998,182900
"232",134720,0.5218216,174800
"233",134800,0.2091232,176600
"234",134901,0.3533507,220300
"235",134902,0.708842,191100
"236",135102,0.1556522,244800
"237",135111,0.3952673,216900
"238",135112,0.8164117,203500
"239",135201,0.1695332,248500
"240",135202,0.1649763,234100
"241",135203,0.1197068,255000
"242",137000,0.1242533,362000
"243",137102,0.5538818,284400
"244",137201,0.5334755,279500
"245",137301,0.083225,374200
"246",137302,0.0486111,384300
"247",137401,0.2241096,321600
"248",137402,0.1897773,370100
"249",137501,0.5741895,559500
"250",137502,0.2869512,272900
"251",137504,0.0099432,598900
"252",138000,0.1215909,358300
"253",139000,0.5105215,216200
"254",139200,0.5290381,197300
"255",139301,0.1617843,300700
"256",139302,0.7321803,133600
"257",139303,0.7093023,161900
"258",139400,0.4581088,540300
"259",139501,0.6773828,250000
"260",139502,0.3792531,271200
"261",139600,0.3757576,731600
"262",139701,0.1248594,475200
"263",139702,0.0380952,648200
"264",139703,0.0393852,739800
"265",139801,0.0433754,621600
"266",139802,0.0342679,630500
"267",141100,0.7317158,388200
"268",141200,0.7124438,414100
"269",141301,0.6928361,406300
"270",141302,0.7180477,347400
"271",141400,0.4030837,464300
"272",141600,0.0628366,579100
"273",141700,0.0530303,592300
"274",143100,0.6427851,492700
"275",143200,0.7899702,417400
"276",143300,0.632313,367600
"277",143400,0.5581396,397000
"278",143500,0.5240113,408600
"279",143601,0.8593094,350500
"280",143602,0.5374046,297500
"281",143700,0.2724268,462200
"282",143800,0.3778822,548100
"283",143901,0.1359756,595200
"284",143902,0.4220963,602600
"285",181000,0.2465947,254800
"286",181300,0.3125,241500
"287",181400,0.6760744,189900
"288",181500,0.3184231,187900
"289",181600,0.5789474,200000
"290",183101,0.4205534,156800
"291",183102,0.6251788,208400
"292",183210,0.5276573,173600
"293",183220,0.5956332,141700
"294",183300,0.4128843,150900
"295",183400,0.5647156,161800
"296",183510,0.369357,144400
"297",183520,0.7308057,152300
"298",183610,0.7646443,139500
"299",183620,0.5953347,175300
"300",183700,0.6724624,167800
"301",183810,0.8610442,156000
"302",183820,0.8318496,145300
"303",185100,0.4127854,209700
"304",185201,0.431833,182900
"305",185202,0.490008,188300
"306",185310,0.5945612,160800
"307",185320,0.6206089,165200
"308",186100,0.3882023,188400
"309",186200,0.4957657,185600
"310",186300,0.4143731,189900
"311",186401,0.862441,133800
"312",186402,0.6371134,172100
"313",187100,0.5820447,192500
"314",187200,0.55125,154500
"315",187300,0.5940594,262900
"316",188100,0.7520278,195000
"317",188200,0.682007,518000
"318",188300,0.4240232,218200
"319",189100,0.7930932,379400
"320",189200,0.7592198,556500
"321",189300,0.1367852,660100
"322",189400,0.4964072,456100
"323",189500,0.8497317,393100
"324",189600,0.6617944,451600
"325",189701,0.4766497,573300
"326",189702,0.5505415,602300
"327",189800,0.6968085,536800
"328",189901,0.8770838,418400
"329",189902,0.9715128,203100
"330",190100,0.9658949,429600
"331",190200,0.993009,350000
"332",190301,0.956044,238600
"333",190520,0.9373826,243200
"334",190700,0.9292222,176900
"335",190800,0.9386503,188800
"336",190901,0.9458918,194200
"337",190902,0.9331652,183000
"338",191000,0.9576271,225000
"339",191110,0.9577115,173300
"340",191120,0.9144317,242700
"341",191201,0.9418472,236100
"342",191203,0.9647718,229700
"343",191204,0.8518519,227700
"344",191300,0.890425,219300
"345",191410,0.9649123,115900
"346",191420,0.9510917,221900
"347",191500,0.8427371,205600
"348",191610,0.9033585,241700
"349",191620,0.8764045,206100
"350",191710,0.907496,198500
"351",191720,0.9233017,182500
"352",191820,0.9636217,187500
"353",191900,0.7806216,347900
"354",192000,0.6593572,342600
"355",192300,0.6214383,440200
"356",192410,0.6586511,358300
"357",192420,0.836237,186700
"358",192510,0.8187391,175900
"359",192520,0.9136253,185300
"360",192610,0.91732,142600
"361",192620,0.9477379,165600
"362",192700,0.8707608,158700
"363",194100,0.4454032,732000
"364",194200,0.4148501,622000
"365",194300,0.1613546,1000001
"366",194400,0.7793943,398200
"367",194500,0.4979633,435900
"368",195100,0.340251,434400
"369",195200,0.6219831,369400
"370",195300,0.7907284,233600
"371",195400,0.6011904,335900
"372",195500,0.605415,283200
"373",195600,0.6987448,181400
"374",195710,0.8569219,177100
"375",195720,0.8234086,180100
"376",195801,0.79372,186400
"377",195802,0.7830508,181300
"378",195900,0.7977528,199800
"379",197110,0.5755814,190100
"380",197200,0.4993614,167800
"381",197300,0.7508982,187500
"382",197410,0.493838,207200
"383",197420,0.7407407,184700
"384",197500,0.8262477,195600
"385",197600,0.8406113,153600
"386",197700,0.8292135,155400
"387",199000,0.7589474,146200
"388",199110,0.5048276,122100
"389",199120,0.7819383,174600
"390",199201,0.860424,159400
"391",199202,0.6185185,127500
"392",199300,0.4407217,169000
"393",199400,0.7325671,150700
"394",199700,0.808952,161700
"395",199800,0.7388704,157600
"396",199900,0.8310056,162500
"397",201110,0.3949772,146700
"398",201120,0.6120871,161400
"399",201200,0.6295224,174000
"400",201301,0.5349576,159800
"401",201302,0.3444816,176700
"402",201401,0.5003965,140000
"403",201402,0.3483965,154100
"404",201501,0.5810019,160100
"405",201503,0.6484716,138400
"406",201504,0.5634782,142400
"407",201600,0.4101839,155200
"408",201700,0.5285923,147200
"409",203100,0.8729038,150300
"410",203200,0.6927561,129500
"411",203300,0.8606965,108300
"412",203500,0.8203055,160100
"413",203600,0.7807487,149500
"414",203710,0.74125,177200
"415",203720,0.7938719,143600
"416",203800,0.6066725,140600
"417",203900,0.5748588,148400
"418",204110,0.6762861,139300
"419",204120,0.6512668,157600
"420",204200,0.8550724,168500
"421",204300,0.7432118,143500
"422",204410,0.8507463,166600
"423",204420,0.9115129,166700
"424",204600,0.7789679,148500
"425",204700,0.5884843,156900
"426",204810,0.6050584,157300
"427",204820,0.5435992,168300
"428",204910,0.7018716,159700
"429",204920,0.5220228,149400
"430",205120,0.8985823,137500
"431",206010,0.9244444,142900
"432",206030,0.9157088,314300
"433",206040,0.9310345,143100
"434",206050,0.9275731,350000
"435",206200,0.9003466,350000
"436",206300,0.9910256,97800
"437",207100,0.9374717,137200
"438",207300,0.9848635,187500
"439",207500,0.8849916,875000
"440",207900,0.8449946,636400
"441",208000,0.9090082,152400
"442",208300,0.9371782,164300
"443",208400,0.9251126,149700
"444",208500,0.9215891,212500
"445",208610,0.8535354,182000
"446",208620,0.9005392,195500
"447",208720,0.9875622,253100
"448",208800,0.9761904,170800
"449",209300,0.9732472,225000
"450",209520,0.9472595,200000
"451",209810,0.9842632,162500
"452",209820,0.9184713,159100
"453",210010,0.8357016,79300
"454",211000,0.177305,715300
"455",211110,0.957409,235300
"456",211200,0.9482844,128600
"457",211310,0.9846978,162500
"458",211410,0.9070352,273100
"459",211420,0.8086957,265400
"460",211500,0.6374502,537300
"461",211701,0.7171001,577800
"462",211702,0.9283462,420000
"463",211801,0.9508575,356300
"464",211802,0.9486405,410000
"465",212100,0.9376234,151800
"466",212420,0.9568465,232500
"467",212500,0.9687204,9999
"468",212610,0.8932361,288200
"469",212620,0.9241146,413600
"470",212700,0.5692851,369100
"471",212800,0.6331939,194000
"472",212900,0.9092728,266700
"473",213100,0.6851852,285100
"474",213201,0.901419,207900
"475",213202,0.8396761,162200
"476",213310,0.8748867,161900
"477",213320,0.8859738,175000
"478",213402,0.9602203,29600
"479",214000,0.4530103,493700
"480",214100,0.5656914,735700
"481",214400,0.9597506,875000
"482",214500,0.9890686,310500
"483",214600,0.7342857,440200
"484",214700,0.6063241,494600
"485",214800,0.7628651,525800
"486",214900,0.8338344,413600
"487",216100,0.4789523,358200
"488",216200,0.7079812,367200
"489",216300,0.6303884,451600
"490",216400,0.8619392,270300
"491",216700,0.6479217,290700
"492",216800,0.6535032,496100
"493",216900,0.6284441,261500
"494",217000,0.7019395,348200
"495",217100,0.7285542,221200
"496",217200,0.709943,265000
"497",218110,0.7349608,245500
"498",218120,0.8540091,244600
"499",218210,0.8074266,176700
"500",218220,0.6871904,263600
"501",218300,0.7010569,168600
"502",218400,0.6768258,164000
"503",218500,0.6266541,151500
"504",218600,0.6451128,156300
"505",218700,0.6984012,207800
"506",218800,0.7750557,188900
"507",218900,0.8418418,207300
"508",219010,0.4238411,154300
"509",219020,0.517321,153800
"510",219300,0.7418622,143400
"511",219500,0.2647462,183500
"512",219700,0.4953464,147800
"513",219800,0.7418671,142800
"514",219900,0.5765275,135600
"515",220000,0.6403326,153100
"516",220100,0.5389221,214200
"517",221110,0.9248335,187500
"518",221120,0.8596491,154700
"519",221210,0.7355474,186100
"520",221220,0.8626692,155700
"521",221301,0.9171396,258900
"522",221302,0.8630452,255400
"523",221400,0.8335412,256500
"524",221500,0.8577431,175500
"525",221600,0.7875,173900
"526",221710,0.8531519,181300
"527",221810,0.8842105,158900
"528",221820,0.9810017,198200
"529",221900,0.9183813,155600
"530",222000,0.5522673,153400
"531",222100,0.6749539,163100
"532",222200,0.7732407,184900
"533",222500,0.6468189,150600
"534",222600,0.7809944,159500
"535",224020,0.9025974,135600
"536",224200,0.9112903,164100
"537",224310,0.9111842,152800
"538",224320,0.9464105,215700
"539",224410,0.8941399,183800
"540",224420,0.9129794,189400
"541",224600,0.8766007,157500
"542",226000,0.8775665,174800
"543",226410,0.8502415,177500
"544",226420,0.7862191,147600
"545",226700,0.7312073,146700
"546",227010,0.7637178,185100
"547",227020,0.7253521,162200
"548",228100,0.6460446,128500
"549",228210,0.652349,131300
"550",228220,0.6778607,122600
"551",228310,0.7509881,145200
"552",228320,0.7525473,121500
"553",228410,0.7530289,137900
"554",228420,0.7848101,141400
"555",228500,0.7147239,134200
"556",228600,0.7533981,137600
"557",228710,0.7130045,137700
"558",228720,0.6972789,127200
"559",228800,0.7247387,138900
"560",228900,0.825779,139600
"561",229100,0.5923719,137600
"562",229200,0.7411874,134500
"563",229300,0.8037543,160300
"564",229410,0.6875,144000
"565",229420,0.6402062,131700
"566",231100,0.9581006,145800
"567",231210,0.8026052,143800
"568",231220,0.8490566,141600
"569",231300,0.6536439,156100
"570",231400,0.6195489,150700
"571",231500,0.3510802,145400
"572",231600,0.6704484,154900
"573",231710,0.937667,162500
"574",231720,0.7677936,146800
"575",231800,0.8179973,147800
"576",231900,0.7352737,156000
"577",232110,0.6993548,115900
"578",232120,0.7729211,154600
"579",232200,0.5909091,152500
"580",232300,0.4442308,143900
"581",232400,0.5290603,150500
"582",232500,0.6062931,136900
"583",232600,0.5624595,138400
"584",232700,0.6624365,135800
"585",232800,0.6853824,137800
"586",234000,0.3378876,185500
"587",234200,0.3503717,194100
"588",234500,0.5286929,144900
"589",234600,0.3796895,151200
"590",234700,0.5301915,143100
"591",234800,0.3541867,132100
"592",234900,0.8717512,148000
"593",235100,0.2643812,176100
"594",235201,0.3538961,155400
"595",235202,0.6903766,169400
"596",236000,0.218252,242700
"597",236100,0.8446834,188900
"598",236201,0.992281,95000
"599",236400,0.4644601,317000
"600",237100,0.6576213,141600
"601",237200,0.5074716,137800
"602",237300,0.4368564,135600
"603",237400,0.428506,130400
"604",237500,0.783397,140700
"605",237600,0.6900468,131700
"606",237710,0.8026549,144800
"607",237720,0.8093525,138000
"608",237800,0.3781706,139100
"609",237900,0.3073899,156700
"610",238000,0.3279727,157700
"611",238100,0.4644172,159700
"612",238200,0.5830116,145700
"613",238310,0.8793604,161300
"614",238320,0.8555363,138700
"615",238400,0.2531395,158300
"616",239200,0.6587144,142500
"617",239310,0.6702955,169900
"618",239320,0.5637982,164900
"619",239330,0.6089031,143100
"620",239500,0.5817832,133200
"621",239600,0.6988048,135500
"622",239700,0.6692147,131300
"623",239800,0.6323149,132700
"624",240010,0.7062084,134100
"625",240020,0.5099458,131300
"626",240200,0.6199262,129300
"627",240300,0.7603414,135000
"628",240400,0.621389,131500
"629",240500,0.6370656,125200
"630",240600,0.5813743,129100
"631",240700,0.4096978,125500
"632",240800,0.5577731,133700
"633",240900,0.4892221,129100
"634",241000,0.4974522,137200
"635",241110,0.6468023,143600
"636",241120,0.6795338,140200
"637",241200,0.3777322,140900
"638",241300,0.572759,154200
"639",241400,0.6046512,125400
"640",242000,0.6200717,131300
"641",242200,0.6279435,132000
"642",242300,0.707027,107300
"643",242600,0.9261411,118800
"644",242700,0.542065,117800
"645",243000,0.4462222,117600
"646",243100,0.6892502,125800
"647",261101,0.1001737,695800
"648",261102,0.0756403,955400
"649",261200,0.1233259,680800
"650",262200,0.1884701,1000001
"651",262302,0.205298,1000001
"652",262303,0.069398,1000001
"653",262500,0.1180992,785100
"654",262601,0.1132225,666300
"655",262602,0.163522,906100
"656",262800,0.1463731,1000001
"657",264000,0.1462481,1000001
"658",264101,0.7259055,845700
"659",264301,0.865411,342500
"660",264302,0.6323529,633000
"661",265100,0.2423986,1000001
"662",265200,0.4494382,1000001
"663",265301,0.8571429,236400
"664",265410,0.3452012,672600
"665",265420,0.2089356,854100
"666",265510,0.8303419,701500
"667",265520,0.6816579,461800
"668",265600,0.478745,634200
"669",265700,0.4980096,780600
"670",267100,0.529187,525300
"671",267200,0.6058678,517000
"672",267300,0.893923,223500
"673",267401,0.9191464,795500
"674",267402,0.876161,225000
"675",267501,0.8590711,326000
"676",267502,0.8030593,318700
"677",267600,0.5754796,284900
"678",267700,0.7366197,323500
"679",267800,0.2808889,438400
"680",267900,0.3473444,569600
"681",269000,0.3878935,656400
"682",269100,0.6405901,501600
"683",269300,0.3004484,631700
"684",269500,0.0527412,583800
"685",269600,0.8576727,278400
"686",269700,0.5845028,268300
"687",269800,0.7874837,324400
"688",269901,0.9514659,231900
"689",269902,0.9623242,196900
"690",270100,0.916,263500
"691",270200,0.6533181,216100
"692",270300,0.524522,213700
"693",271100,0.507371,349700
"694",271200,0.6493506,318800
"695",271300,0.5036179,326000
"696",271400,0.1233383,376200
"697",271500,0.4212454,445800
"698",271600,0.5121317,520200
"699",271701,0.7534919,365000
"700",271702,0.7985961,393300
"701",271801,0.8510055,280800
"702",271802,0.8722368,242900
"703",271900,0.6082513,362600
"704",272100,0.4045759,356300
"705",272200,0.8076634,283000
"706",272301,0.6396791,348100
"707",272302,0.8861789,329800
"708",273100,0.624,341100
"709",273200,0.7718563,266400
"710",273300,0.8312312,382500
"711",273400,0.8450267,613200
"712",273500,0.8667012,325600
"713",273700,0.4633174,354300
"714",273800,0.7083591,375800
"715",273900,0.6314225,461700
"716",274100,0.6840092,393300
"717",274200,0.5112291,972700
"718",275100,0.6655879,256800
"719",275200,0.8042296,237100
"720",275302,0.2419962,325300
"721",275311,0.5189066,295400
"722",275400,0.4780335,281400
"723",275510,0.52,227400
"724",275520,0.9213313,131300
"725",275601,0.4515901,263000
"726",276000,0.1990072,345100
"727",276100,0.812972,281700
"728",276400,0.1491677,371200
"729",276500,0.3114094,361400
"730",276602,0.5689542,329900
"731",277000,0.1843083,395600
"732",277100,0.1442831,271300
"733",277200,0.9146667,137500
"734",277400,0.8880753,252200
"735",278100,0.5516543,583700
"736",291110,0.6538461,197200
"737",291120,0.6862069,152300
"738",291130,0.2747369,147400
"739",291210,0.5300279,164300
"740",291220,0.5440252,185200
"741",291300,0.2179752,192600
"742",292000,0.6971678,182700
"743",293201,0.6561022,174500
"744",293202,0.8379331,174000
"745",293301,0.2636625,232000
"746",293302,0.3991292,214600
"747",293304,0.7334326,182400
"748",293305,0.510241,229100
"749",294110,0.3935361,160700
"750",294120,0.4803738,117600
"751",294200,0.3959678,172600
"752",294300,0.4623431,161600
"753",294410,0.6340395,149100
"754",294420,0.6968326,158000
"755",294510,0.6494645,171300
"756",294520,0.6890951,160300
"757",294610,0.6641721,188400
"758",294620,0.5134298,153900
"759",294700,0.8522848,148500
"760",294810,0.8636836,138800
"761",294820,0.8914819,133000
"762",294830,0.694075,152500
"763",294900,0.7496933,144900
"764",295101,0.1994092,248500
"765",296210,0.7665848,161000
"766",296220,0.9539952,145800
"767",296300,0.3889798,297500
"768",296400,0.2302219,265400
"769",296500,0.6176233,190500
"770",296600,0.7665929,153400
"771",296900,0.8011364,204800
"772",297000,0.4244916,303100
"773",297110,0.8428781,164500
"774",297120,0.7404103,181700
"775",297200,0.6850296,236000
"776",297300,0.3927626,311400
"777",297500,0.3646888,327100
"778",297600,0.7303071,234500
"779",300100,0.080597,362200
"780",300200,0.2573099,285700
"781",300300,0.1535598,292000
"782",300400,0.3287671,262800
"783",300501,0.4146154,252800
"784",300502,0.6794338,263400
"785",300600,0.5056218,268000
"786",300701,0.1325357,435200
"787",300702,0.0769605,529000
"788",300800,0.4534139,366900
"789",300901,0.0907449,443500
"790",300902,0.1051931,341800
"791",301000,0.6073589,342200
"792",301100,0.5210368,356500
"793",301202,0.5221971,312800
"794",301203,0.571047,323600
"795",301204,0.8768499,187500
"796",301300,0.0207756,509200
"797",301400,0.0949464,352000
"798",301501,0.170778,323700
"799",301502,0.8489122,220400
"800",301601,0.8522678,211700
"801",301602,0.6810611,230100
"802",301701,0.530541,247100
"803",301702,0.7715281,205400
"804",301800,0.7864202,213200
"805",301900,0.6629249,269800
"806",302001,0.8694517,183100
"807",302002,0.75,266700
"808",302102,0.6437476,237700
"809",302103,0.8409543,183900
"810",302104,0.8389831,167800
"811",302201,0.9293553,232300
"812",302202,0.8935618,224200
"813",302301,0.7487352,196600
"814",302302,0.9100474,225000
"815",302400,0.8548926,211300
"816",302501,0.8766701,168900
"817",302502,0.8281869,234200
"818",310100,0.0522774,380000
"819",310200,0.5510422,319400
"820",310300,0.059434,334300
"821",310400,0.4,253300
"822",310500,0.8060662,181100
"823",310600,0.693435,248300
"824",310701,0.9105023,149300
"825",310702,0.9182181,201000
"826",310703,0.8512195,275000
"827",310800,0.5343889,251500
"828",310900,0.3473601,229600
"829",311000,0.4097561,219700
"830",311100,0.2611558,213800
"831",311200,0.4350548,220000
"832",311300,0.3295979,232400
"833",311400,0.3217923,257000
"834",311500,0.5374431,254200
"835",311600,0.7342065,252900
"836",311700,0.4855556,280900
"837",311800,0.8072898,230300
"838",320100,0.2945839,151100
"839",320200,0.5220472,141000
"840",320300,0.5220883,138400
"841",400203,0.1264299,265500
"842",400204,0.0283194,340800
"843",400205,0.0977444,468500
"844",400206,0.0809917,291500
"845",400302,0.2357002,219100
"846",400303,0.2105263,244700
"847",400304,0.4360842,190900
"848",400402,0.1898527,231700
"849",400500,0.0440587,448100
"850",400602,0.5078347,165900
"851",400603,0.3449116,147600
"852",400604,0.3959276,167300
"853",400800,0.3871921,205600
"854",400900,0.2448825,199400
"855",401001,0.0656371,278500
"856",401002,0.5140889,244700
"857",401101,0.5090253,210600
"858",401102,0.4969957,187500
"859",401201,0.170892,213000
"860",401202,0.1395349,190800
"861",401203,0.2258251,203800
"862",401302,0.1272366,298300
"863",401311,0.4148385,170800
"864",401312,0.1030596,206700
"865",401500,0.3254637,192800
"866",401601,0.2294521,237700
"867",401602,0.466951,177400
"868",401603,0.1993543,207700
"869",401701,0.2224824,228700
"870",401703,0.6364281,166300
"871",401704,0.4650098,137100
"872",401800,0.2085291,241300
"873",401902,0.6342487,289600
"874",402000,0.4240995,159800
"875",402101,0.2160853,130900
"876",402102,0.3251433,140400
"877",402200,0.2567686,167300
"878",402301,0.4478331,126500
"879",402302,0.6570048,113600
"880",402401,0.3,116200
"881",402402,0.5109557,121800
"882",402403,0.2578947,116700
"883",402501,0.6039689,114500
"884",402502,0.6158664,125100
"885",402600,0.5143451,140100
"886",402702,0.760721,120000
"887",402703,0.3209876,129300
"888",402704,0.1887417,134700
"889",402801,0.6421846,98500
"890",402802,0.6613789,120700
"891",402901,0.284273,127600
"892",402902,0.4883178,137600
"893",403000,0.2233748,127900
"894",403303,0.0943152,219300
"895",403304,0.1134273,302100
"896",403305,0.1191432,268400
"897",403312,0.1782554,190300
"898",403316,0.2135566,217700
"899",403317,0.0894085,232100
"900",403318,0.1345291,221500
"901",403319,0.3461774,238000
"902",403320,0.1258441,333300
"903",403321,0.1430843,232000
"904",403322,0.1474878,243100
"905",403323,0.1542258,249800
"906",403324,0.2283923,325100
"907",403325,0.0846834,235800
"908",403401,0.1589359,226700
"909",403402,0.1218014,236300
"910",403403,0.0630194,379100
"911",403404,0.0602941,322400
"912",403405,0.0402415,355100
"913",403406,0.2996346,245100
"914",403407,0.0182482,451600
"915",403408,0.0875753,274200
"916",403600,0.259447,261400
"917",403702,0.1091371,204400
"918",403703,0.1044876,222600
"919",403721,0.3315665,186700
"920",403722,0.6001131,191800
"921",403801,0.3659531,181200
"922",403802,0.4214834,179000
"923",403901,0.1760722,168200
"924",403902,0.2820839,179700
"925",404000,0.382421,160000
"926",404100,0.2810606,143400
"927",404200,0.5113579,151500
"928",404301,0.6315432,150700
"929",404302,0.3204047,138900
"930",404401,0.4329268,137600
"931",404402,0.4076717,147000
"932",404501,0.4355828,127500
"933",404502,0.5127291,138600
"934",404600,0.3143564,176700
"935",404701,0.3097561,140000
"936",404702,0.4569776,136700
"937",404703,0.5437263,140300
