"","area","prop_rents","median_value"
"1",101110,0.4944649,152300
"2",101120,0.144528,240000
"3",101210,0.8834209,137800
"4",101220,0.6211129,143500
"5",101300,0.1478495,229400
"6",101400,0.267192,220400
"7",102101,0.2855848,263700
"8",102102,0.2021008,199600
"9",103101,0.1378936,201800
"10",103102,0.2961783,161700
"11",103200,0.3650953,212600
"12",103400,0.3611226,183100
"13",104103,0.1306018,160900
"14",104104,0.1523916,159100
"15",104105,0.4918155,129900
"16",104106,0.5410108,156500
"17",104201,0.2684642,137600
"18",104202,0.3897707,148600
"19",104310,0.2556391,143500
"20",104320,0.464315,138900
"21",104401,0.3220141,144900
"22",104402,0.4616182,140500
"23",104500,0.3528162,142800
"24",104610,0.5338646,136100
"25",104620,0.2918518,137100
"26",104701,0.7696827,135300
"27",104702,0.4229589,141000
"28",104810,0.3162879,134000
"29",104820,0.6004804,154200
"30",106010,0.2944785,200600
"31",106020,0.2407045,173400
"32",106111,0.1084543,180100
"33",106112,0.1713316,158600
"34",106113,0.1888466,164200
"35",106114,0.5221675,125500
"36",106402,0.2181734,181100
"37",106403,0.2147316,151000
"38",106404,0.6772403,103300
"39",106510,0.2384378,242700
"40",106520,0.1985507,152500
"41",106602,0.1202241,280000
"42",106603,0.0667362,343900
"43",106604,0.4028716,177700
"44",106605,0.2926652,174200
"45",106641,0.1141375,295000
"46",106642,0.0593561,270100
"47",106643,0.048288,473000
"48",107010,0.2229008,153100
"49",107020,0.3017876,150300
"50",108101,0.1024328,310400
"51",108102,0.0949721,337100
"52",108103,0.0618557,446600
"53",108104,0.065371,338100
"54",108200,0.0842697,360700
"55",109100,0.2307692,178800
"56",109200,0.1463415,196600
"57",109300,0.1587444,182200
"58",109400,0.2060786,168800
"59",109500,0.3452915,145900
"60",109601,0.1183036,181700
"61",109602,0.2672673,182800
"62",109700,0.2141296,189900
"63",109800,0.3024691,186200
"64",111100,0.1698337,196300
"65",111201,0.0910224,256300
"66",111202,0.343949,211400
"67",111203,0.1138247,272200
"68",111204,0.0504945,371500
"69",111301,0.6288078,212700
"70",111302,0.4824976,263300
"71",111400,0.5425406,220300
"72",113100,0.0737787,360300
"73",113202,0.2418926,294000
"74",113211,0.1292825,218700
"75",113212,0.3420561,234500
"76",113213,0.3918919,233800
"77",113232,0.1142644,293200
"78",113233,0.7170818,190400
