"","area","year","race","income","count"
"1",101110,"00","white","l",688
"2",101120,"00","white","l",406
"3",101210,"00","white","l",820
"4",101220,"00","white","l",583
"5",101300,"00","white","l",458
"6",101400,"00","white","l",543
"7",102101,"00","white","l",328
"8",102102,"00","white","l",531
"9",103101,"00","white","l",273
"10",103102,"00","white","l",568
"11",103200,"00","white","l",688
"12",103400,"00","white","l",959
"13",104103,"00","white","l",32
"14",104104,"00","white","l",138
"15",104105,"00","white","l",96
"16",104106,"00","white","l",111
"17",104201,"00","white","l",9
"18",104202,"00","white","l",133
"19",104310,"00","white","l",7
"20",104320,"00","white","l",17
"21",104401,"00","white","l",18
"22",104402,"00","white","l",51
"23",104500,"00","white","l",50
"24",104610,"00","white","l",1
"25",104620,"00","white","l",36
"26",104701,"00","white","l",10
"27",104702,"00","white","l",171
"28",104810,"00","white","l",72
"29",104820,"00","white","l",100
"30",106010,"00","white","l",190
"31",106020,"00","white","l",220
"32",106111,"00","white","l",248
"33",106112,"00","white","l",219
"34",106113,"00","white","l",76
"35",106114,"00","white","l",250
"36",106402,"00","white","l",494
"37",106403,"00","white","l",115
"38",106404,"00","white","l",173
"39",106510,"00","white","l",182
"40",106520,"00","white","l",264
"41",106602,"00","white","l",430
"42",106603,"00","white","l",67
"43",106604,"00","white","l",55
"44",106605,"00","white","l",164
"45",106641,"00","white","l",104
"46",106642,"00","white","l",230
"47",106643,"00","white","l",122
"48",107010,"00","white","l",76
"49",107020,"00","white","l",86
"50",108101,"00","white","l",194
"51",108102,"00","white","l",223
"52",108103,"00","white","l",87
"53",108104,"00","white","l",49
"54",108200,"00","white","l",150
"55",109100,"00","white","l",50
"56",109200,"00","white","l",224
"57",109300,"00","white","l",347
"58",109400,"00","white","l",251
"59",109500,"00","white","l",28
"60",109601,"00","white","l",147
"61",109602,"00","white","l",329
"62",109700,"00","white","l",306
"63",109800,"00","white","l",468
"64",111100,"00","white","l",415
"65",111201,"00","white","l",219
"66",111202,"00","white","l",582
"67",111203,"00","white","l",452
"68",111204,"00","white","l",366
"69",111301,"00","white","l",901
"70",111302,"00","white","l",656
"71",111400,"00","white","l",629
"72",113100,"00","white","l",307
"73",113202,"00","white","l",684
"74",113211,"00","white","l",432
"75",113212,"00","white","l",227
"76",113213,"00","white","l",480
"77",113232,"00","white","l",309
"78",113233,"00","white","l",723
"79",113234,"00","white","l",544
"80",113303,"00","white","l",495
"81",113321,"00","white","l",802
"82",113322,"00","white","l",267
"83",113401,"00","white","l",322
"84",113421,"00","white","l",428
"85",113422,"00","white","l",545
"86",115101,"00","white","l",290
"87",115102,"00","white","l",502
"88",115201,"00","white","l",837
"89",115202,"00","white","l",542
"90",115301,"00","white","l",369
"91",115302,"00","white","l",118
"92",115401,"00","white","l",535
"93",115402,"00","white","l",481
"94",117100,"00","white","l",272
"95",117200,"00","white","l",273
"96",117301,"00","white","l",360
"97",117302,"00","white","l",453
"98",117303,"00","white","l",260
"99",117404,"00","white","l",310
"100",117405,"00","white","l",38
"101",117406,"00","white","l",133
"102",117510,"00","white","l",48
"103",117520,"00","white","l",33
"104",117530,"00","white","l",125
"105",119000,"00","white","l",179
"106",119100,"00","white","l",88
"107",119200,"00","white","l",98
"108",119310,"00","white","l",76
"109",119320,"00","white","l",66
"110",119330,"00","white","l",127
"111",119340,"00","white","l",228
"112",119400,"00","white","l",245
"113",119700,"00","white","l",220
"114",119800,"00","white","l",213
"115",119900,"00","white","l",351
"116",120010,"00","white","l",109
"117",120020,"00","white","l",95
"118",120101,"00","white","l",260
"119",120102,"00","white","l",248
"120",120300,"00","white","l",264
"121",120400,"00","white","l",363
"122",121010,"00","white","l",317
"123",121020,"00","white","l",166
"124",121100,"00","white","l",258
"125",121210,"00","white","l",140
"126",121220,"00","white","l",110
"127",121600,"00","white","l",166
"128",121800,"00","white","l",258
