"","area","year","race","income","count"
"129",121900,"00","white","l",213
"130",122000,"00","white","l",300
"131",122110,"00","white","l",172
"132",122120,"00","white","l",131
"133",122200,"00","white","l",275
"134",122410,"00","white","l",137
"135",122420,"00","white","l",217
"136",123010,"00","white","l",85
"137",123020,"00","white","l",81
"138",123103,"00","white","l",351
"139",123104,"00","white","l",355
"140",123203,"00","white","l",152
"141",123204,"00","white","l",97
"142",123205,"00","white","l",120
"143",123206,"00","white","l",125
"144",123301,"00","white","l",194
"145",123303,"00","white","l",157
"146",123304,"00","white","l",249
"147",123410,"00","white","l",306
"148",123420,"00","white","l",314
"149",123510,"00","white","l",367
"150",123520,"00","white","l",195
"151",123601,"00","white","l",692
"152",123602,"00","white","l",386
"153",123700,"00","white","l",594
"154",123800,"00","white","l",922
"155",123900,"00","white","l",753
"156",124000,"00","white","l",814
"157",124101,"00","white","l",526
"158",124102,"00","white","l",401
"159",124201,"00","white","l",266
"160",124202,"00","white","l",400
"161",124300,"00","white","l",271
"162",124400,"00","white","l",536
"163",124500,"00","white","l",325
"164",124600,"00","white","l",677
"165",124700,"00","white","l",660
"166",124901,"00","white","l",1529
"167",125100,"00","white","l",1072
"168",125200,"00","white","l",639
"169",125310,"00","white","l",310
"170",125320,"00","white","l",525
"171",125400,"00","white","l",1370
"172",125500,"00","white","l",1255
"173",125600,"00","white","l",321
"174",127101,"00","white","l",431
"175",127102,"00","white","l",242
"176",127210,"00","white","l",416
"177",127220,"00","white","l",314
"178",127300,"00","white","l",373
"179",127400,"00","white","l",255
"180",127510,"00","white","l",478
"181",127601,"00","white","l",424
"182",127602,"00","white","l",420
"183",127710,"00","white","l",607
"184",127801,"00","white","l",784
"185",127802,"00","white","l",494
"186",127910,"00","white","l",271
"187",127920,"00","white","l",332
"188",128100,"00","white","l",569
"189",128210,"00","white","l",187
"190",128220,"00","white","l",375
"191",128302,"00","white","l",243
"192",128303,"00","white","l",107
"193",128400,"00","white","l",573
"194",128500,"00","white","l",991
"195",128600,"00","white","l",825
"196",128702,"00","white","l",1113
"197",128800,"00","white","l",1223
"198",128910,"00","white","l",725
"199",131010,"00","white","l",480
"200",131020,"00","white","l",426
"201",131100,"00","white","l",431
"202",131200,"00","white","l",329
"203",131300,"00","white","l",270
"204",131400,"00","white","l",450
"205",131600,"00","white","l",391
"206",131700,"00","white","l",902
"207",131800,"00","white","l",410
"208",131900,"00","white","l",423
"209",132000,"00","white","l",655
"210",132100,"00","white","l",579
"211",132300,"00","white","l",639
"212",132500,"00","white","l",799
"213",132700,"00","white","l",329
"214",132900,"00","white","l",476
"215",133000,"00","white","l",295
"216",133100,"00","white","l",508
"217",134000,"00","white","l",302
"218",134101,"00","white","l",237
"219",134103,"00","white","l",337
"220",134104,"00","white","l",169
"221",134201,"00","white","l",226
"222",134302,"00","white","l",328
"223",134303,"00","white","l",556
"224",134304,"00","white","l",230
"225",134306,"00","white","l",298
"226",134401,"00","white","l",272
"227",134421,"00","white","l",193
"228",134422,"00","white","l",365
"229",134510,"00","white","l",301
"230",134520,"00","white","l",311
"231",134710,"00","white","l",262
"232",134720,"00","white","l",410
"233",134800,"00","white","l",437
"234",134901,"00","white","l",369
"235",134902,"00","white","l",754
"236",135102,"00","white","l",302
"237",135111,"00","white","l",403
"238",135112,"00","white","l",1778
"239",135201,"00","white","l",256
"240",135202,"00","white","l",346
"241",135203,"00","white","l",615
"242",137000,"00","white","l",352
"243",137102,"00","white","l",1148
"244",137201,"00","white","l",894
"245",137301,"00","white","l",170
"246",137302,"00","white","l",300
"247",137401,"00","white","l",529
"248",137402,"00","white","l",356
"249",137501,"00","white","l",391
"250",137502,"00","white","l",529
"251",137504,"00","white","l",72
"252",138000,"00","white","l",362
"253",139000,"00","white","l",825
"254",139200,"00","white","l",914
"255",139301,"00","white","l",336
"256",139302,"00","white","l",822
"257",139303,"00","white","l",876
"258",139400,"00","white","l",672
"259",139501,"00","white","l",2304
"260",139502,"00","white","l",541
"261",139600,"00","white","l",757
"262",139701,"00","white","l",440
"263",139702,"00","white","l",318
"264",139703,"00","white","l",139
"265",139801,"00","white","l",250
"266",139802,"00","white","l",172
"267",141100,"00","white","l",1158
"268",141200,"00","white","l",1363
"269",141301,"00","white","l",1239
"270",141302,"00","white","l",1098
"271",141400,"00","white","l",612
"272",141600,"00","white","l",332
"273",141700,"00","white","l",172
"274",143100,"00","white","l",754
"275",143200,"00","white","l",790
"276",143300,"00","white","l",1055
"277",143400,"00","white","l",979
"278",143500,"00","white","l",563
"279",143601,"00","white","l",1213
"280",143602,"00","white","l",732
"281",143700,"00","white","l",559
"282",143800,"00","white","l",825
"283",143901,"00","white","l",324
"284",143902,"00","white","l",451
"285",181000,"00","white","l",367
"286",181300,"00","white","l",262
"287",181400,"00","white","l",317
"288",181500,"00","white","l",270
"289",181600,"00","white","l",328
"290",183101,"00","white","l",166
"291",183102,"00","white","l",350
"292",183210,"00","white","l",422
"293",183220,"00","white","l",145
"294",183300,"00","white","l",145
"295",183400,"00","white","l",186
"296",183510,"00","white","l",67
"297",183520,"00","white","l",71
"298",183610,"00","white","l",77
"299",183620,"00","white","l",35
"300",183700,"00","white","l",246
"301",183810,"00","white","l",84
"302",183820,"00","white","l",72
"303",185100,"00","white","l",418
"304",185201,"00","white","l",118
"305",185202,"00","white","l",206
"306",185310,"00","white","l",24
"307",185320,"00","white","l",33
"308",186100,"00","white","l",413
"309",186200,"00","white","l",362
"310",186300,"00","white","l",302
"311",186401,"00","white","l",104
"312",186402,"00","white","l",113
"313",187100,"00","white","l",344
"314",187200,"00","white","l",69
"315",187300,"00","white","l",378
"316",188100,"00","white","l",417
"317",188200,"00","white","l",997
"318",188300,"00","white","l",295
"319",189100,"00","white","l",1429
"320",189200,"00","white","l",1510
"321",189300,"00","white","l",219
"322",189400,"00","white","l",619
"323",189500,"00","white","l",1341
"324",189600,"00","white","l",871
"325",189701,"00","white","l",517
"326",189702,"00","white","l",446
"327",189800,"00","white","l",679
"328",189901,"00","white","l",2369
"329",189902,"00","white","l",1785
"330",190100,"00","white","l",1735
"331",190200,"00","white","l",1644
"332",190301,"00","white","l",1210
"333",190520,"00","white","l",692
"334",190700,"00","white","l",562
"335",190800,"00","white","l",1006
"336",190901,"00","white","l",249
"337",190902,"00","white","l",408
"338",191000,"00","white","l",397
"339",191110,"00","white","l",408
"340",191120,"00","white","l",489
"341",191201,"00","white","l",622
"342",191203,"00","white","l",292
"343",191204,"00","white","l",218
"344",191300,"00","white","l",350
"345",191410,"00","white","l",99
"346",191420,"00","white","l",112
"347",191500,"00","white","l",308
"348",191610,"00","white","l",167
"349",191620,"00","white","l",196
"350",191710,"00","white","l",234
"351",191720,"00","white","l",186
"352",191820,"00","white","l",344
"353",191900,"00","white","l",1369
"354",192000,"00","white","l",1286
"355",192300,"00","white","l",406
"356",192410,"00","white","l",454
"357",192420,"00","white","l",168
"358",192510,"00","white","l",64
"359",192520,"00","white","l",118
"360",192610,"00","white","l",132
"361",192620,"00","white","l",73
"362",192700,"00","white","l",81
"363",194100,"00","white","l",1125
"364",194200,"00","white","l",867
"365",194300,"00","white","l",179
"366",194400,"00","white","l",1566
"367",194500,"00","white","l",362
"368",195100,"00","white","l",396
"369",195200,"00","white","l",873
"370",195300,"00","white","l",488
"371",195400,"00","white","l",624
"372",195500,"00","white","l",545
"373",195600,"00","white","l",188
"374",195710,"00","white","l",61
"375",195720,"00","white","l",73
"376",195801,"00","white","l",416
"377",195802,"00","white","l",49
"378",195900,"00","white","l",703
"379",197110,"00","white","l",32
"380",197200,"00","white","l",161
"381",197300,"00","white","l",299
"382",197410,"00","white","l",282
"383",197420,"00","white","l",195
"384",197500,"00","white","l",192
"385",197600,"00","white","l",79
"386",197700,"00","white","l",115
"387",199000,"00","white","l",27
"388",199110,"00","white","l",11
"389",199120,"00","white","l",21
"390",199201,"00","white","l",34
"391",199202,"00","white","l",44
"392",199300,"00","white","l",84
"393",199400,"00","white","l",48
"394",199700,"00","white","l",52
"395",199800,"00","white","l",33
"396",199900,"00","white","l",23
"397",201110,"00","white","l",29
"398",201120,"00","white","l",98
"399",201200,"00","white","l",17
"400",201301,"00","white","l",44
"401",201302,"00","white","l",207
"402",201401,"00","white","l",44
"403",201402,"00","white","l",70
"404",201501,"00","white","l",40
"405",201503,"00","white","l",37
"406",201504,"00","white","l",24
"407",201600,"00","white","l",69
"408",201700,"00","white","l",80
"409",203100,"00","white","l",20
"410",203200,"00","white","l",22
"411",203300,"00","white","l",8
"412",203500,"00","white","l",34
"413",203600,"00","white","l",24
"414",203710,"00","white","l",7
"415",203720,"00","white","l",16
"416",203800,"00","white","l",6
"417",203900,"00","white","l",15
"418",204110,"00","white","l",8
"419",204120,"00","white","l",9
"420",204200,"00","white","l",3
"421",204300,"00","white","l",25
"422",204410,"00","white","l",9
"423",204420,"00","white","l",34
"424",204600,"00","white","l",8
"425",204700,"00","white","l",27
"426",204810,"00","white","l",26
"427",204820,"00","white","l",16
"428",204910,"00","white","l",11
"429",204920,"00","white","l",15
"430",205120,"00","white","l",16
"431",206010,"00","white","l",14
"432",206030,"00","white","l",14
"433",206040,"00","white","l",71
"434",206050,"00","white","l",96
"435",206200,"00","white","l",91
"436",206300,"00","white","l",288
"437",207100,"00","white","l",19
"438",207300,"00","white","l",699
"439",207500,"00","white","l",305
"440",207900,"00","white","l",112
"441",208000,"00","white","l",46
"442",208300,"00","white","l",98
"443",208400,"00","white","l",87
"444",208500,"00","white","l",75
"445",208610,"00","white","l",94
"446",208620,"00","white","l",70
"447",208720,"00","white","l",87
"448",208800,"00","white","l",311
"449",209300,"00","white","l",117
"450",209520,"00","white","l",34
"451",209810,"00","white","l",24
"452",209820,"00","white","l",26
"453",210010,"00","white","l",51
"454",211000,"00","white","l",274
"455",211110,"00","white","l",263
"456",211200,"00","white","l",212
"457",211310,"00","white","l",121
"458",211410,"00","white","l",66
"459",211420,"00","white","l",77
"460",211500,"00","white","l",291
"461",211701,"00","white","l",179
"462",211702,"00","white","l",423
"463",211801,"00","white","l",235
"464",211802,"00","white","l",270
"465",212100,"00","white","l",440
"466",212420,"00","white","l",39
"467",212500,"00","white","l",242
"468",212610,"00","white","l",148
"469",212620,"00","white","l",61
"470",212700,"00","white","l",219
"471",212800,"00","white","l",83
"472",212900,"00","white","l",34
"473",213100,"00","white","l",18
"474",213201,"00","white","l",46
"475",213202,"00","white","l",30
"476",213310,"00","white","l",22
"477",213320,"00","white","l",49
"478",213402,"00","white","l",66
"479",214000,"00","white","l",407
"480",214100,"00","white","l",474
"481",214400,"00","white","l",763
"482",214500,"00","white","l",1517
"483",214600,"00","white","l",616
"484",214700,"00","white","l",441
"485",214800,"00","white","l",649
"486",214900,"00","white","l",1767
"487",216100,"00","white","l",167
"488",216200,"00","white","l",313
"489",216300,"00","white","l",628
"490",216400,"00","white","l",1555
"491",216700,"00","white","l",245
"492",216800,"00","white","l",396
"493",216900,"00","white","l",345
"494",217000,"00","white","l",1075
"495",217100,"00","white","l",153
"496",217200,"00","white","l",75
"497",218110,"00","white","l",29
"498",218120,"00","white","l",41
"499",218210,"00","white","l",27
"500",218220,"00","white","l",29
"501",218300,"00","white","l",38
"502",218400,"00","white","l",44
"503",218500,"00","white","l",33
"504",218600,"00","white","l",46
"505",218700,"00","white","l",25
"506",218800,"00","white","l",20
"507",218900,"00","white","l",26
"508",219010,"00","white","l",5
"509",219020,"00","white","l",10
"510",219300,"00","white","l",8
"511",219500,"00","white","l",0
"512",219700,"00","white","l",14
"513",219800,"00","white","l",28
"514",219900,"00","white","l",38
"515",220000,"00","white","l",33
"516",220100,"00","white","l",0
"517",221110,"00","white","l",24
"518",221120,"00","white","l",19
"519",221210,"00","white","l",44
"520",221220,"00","white","l",40
"521",221301,"00","white","l",58
"522",221302,"00","white","l",30
"523",221400,"00","white","l",53
"524",221500,"00","white","l",12
"525",221600,"00","white","l",42
"526",221710,"00","white","l",37
"527",221810,"00","white","l",116
"528",221820,"00","white","l",299
"529",221900,"00","white","l",336
"530",222000,"00","white","l",19
"531",222100,"00","white","l",24
"532",222200,"00","white","l",35
"533",222500,"00","white","l",13
"534",222600,"00","white","l",53
"535",224020,"00","white","l",9
"536",224200,"00","white","l",26
"537",224310,"00","white","l",17
"538",224320,"00","white","l",29
"539",224410,"00","white","l",111
"540",224420,"00","white","l",38
"541",224600,"00","white","l",13
"542",226000,"00","white","l",102
"543",226410,"00","white","l",5
"544",226420,"00","white","l",11
"545",226700,"00","white","l",13
"546",227010,"00","white","l",12
"547",227020,"00","white","l",10
"548",228100,"00","white","l",10
"549",228210,"00","white","l",7
"550",228220,"00","white","l",5
"551",228310,"00","white","l",9
"552",228320,"00","white","l",5
"553",228410,"00","white","l",17
"554",228420,"00","white","l",6
"555",228500,"00","white","l",6
"556",228600,"00","white","l",10
"557",228710,"00","white","l",12
"558",228720,"00","white","l",3
"559",228800,"00","white","l",8
"560",228900,"00","white","l",11
"561",229100,"00","white","l",8
"562",229200,"00","white","l",4
"563",229300,"00","white","l",11
"564",229410,"00","white","l",9
"565",229420,"00","white","l",4
"566",231100,"00","white","l",43
"567",231210,"00","white","l",17
"568",231220,"00","white","l",11
"569",231300,"00","white","l",15
"570",231400,"00","white","l",22
"571",231500,"00","white","l",9
"572",231600,"00","white","l",25
"573",231710,"00","white","l",11
"574",231720,"00","white","l",34
"575",231800,"00","white","l",17
"576",231900,"00","white","l",10
"577",232110,"00","white","l",4
"578",232120,"00","white","l",10
"579",232200,"00","white","l",5
"580",232300,"00","white","l",13
"581",232400,"00","white","l",11
"582",232500,"00","white","l",5
"583",232600,"00","white","l",10
"584",232700,"00","white","l",13
"585",232800,"00","white","l",10
"586",234000,"00","white","l",30
"587",234200,"00","white","l",22
"588",234500,"00","white","l",17
"589",234600,"00","white","l",25
"590",234700,"00","white","l",19
"591",234800,"00","white","l",11
"592",234900,"00","white","l",29
"593",235100,"00","white","l",63
"594",235201,"00","white","l",21
"595",235202,"00","white","l",20
"596",236000,"00","white","l",248
"597",236100,"00","white","l",26
"598",236201,"00","white","l",37
"599",236400,"00","white","l",33
"600",237100,"00","white","l",11
"601",237200,"00","white","l",12
"602",237300,"00","white","l",11
"603",237400,"00","white","l",11
"604",237500,"00","white","l",9
"605",237600,"00","white","l",16
"606",237710,"00","white","l",11
"607",237720,"00","white","l",12
"608",237800,"00","white","l",12
"609",237900,"00","white","l",9
"610",238000,"00","white","l",24
"611",238100,"00","white","l",17
"612",238200,"00","white","l",27
"613",238310,"00","white","l",15
"614",238320,"00","white","l",20
"615",238400,"00","white","l",9
"616",239200,"00","white","l",14
"617",239310,"00","white","l",4
"618",239320,"00","white","l",6
"619",239330,"00","white","l",5
"620",239500,"00","white","l",11
"621",239600,"00","white","l",9
"622",239700,"00","white","l",9
"623",239800,"00","white","l",11
"624",240010,"00","white","l",9
"625",240020,"00","white","l",6
"626",240200,"00","white","l",8
"627",240300,"00","white","l",11
"628",240400,"00","white","l",8
"629",240500,"00","white","l",17
"630",240600,"00","white","l",8
"631",240700,"00","white","l",11
"632",240800,"00","white","l",6
"633",240900,"00","white","l",12
"634",241000,"00","white","l",9
"635",241110,"00","white","l",2
"636",241120,"00","white","l",9
"637",241200,"00","white","l",10
"638",241300,"00","white","l",10
"639",241400,"00","white","l",5
"640",242000,"00","white","l",7
"641",242200,"00","white","l",3
"642",242300,"00","white","l",5
"643",242600,"00","white","l",7
"644",242700,"00","white","l",5
"645",243000,"00","white","l",6
"646",243100,"00","white","l",13
"647",261101,"00","white","l",298
"648",261102,"00","white","l",216
"649",261200,"00","white","l",340
"650",262200,"00","white","l",317
"651",262302,"00","white","l",226
"652",262303,"00","white","l",165
"653",262500,"00","white","l",247
"654",262601,"00","white","l",95
"655",262602,"00","white","l",448
"656",262800,"00","white","l",163
"657",264000,"00","white","l",266
"658",264101,"00","white","l",1015
"659",264301,"00","white","l",965
"660",264302,"00","white","l",833
"661",265100,"00","white","l",248
"662",265200,"00","white","l",563
"663",265301,"00","white","l",148
"664",265410,"00","white","l",177
"665",265420,"00","white","l",115
"666",265510,"00","white","l",616
"667",265520,"00","white","l",667
"668",265600,"00","white","l",871
"669",265700,"00","white","l",807
"670",267100,"00","white","l",866
"671",267200,"00","white","l",835
"672",267300,"00","white","l",792
"673",267401,"00","white","l",1314
"674",267402,"00","white","l",944
"675",267501,"00","white","l",826
"676",267502,"00","white","l",490
"677",267600,"00","white","l",259
"678",267700,"00","white","l",102
"679",267800,"00","white","l",388
"680",267900,"00","white","l",945
"681",269000,"00","white","l",579
"682",269100,"00","white","l",866
"683",269300,"00","white","l",359
"684",269500,"00","white","l",268
"685",269600,"00","white","l",210
"686",269700,"00","white","l",338
"687",269800,"00","white","l",396
"688",269901,"00","white","l",1156
"689",269902,"00","white","l",1254
"690",270100,"00","white","l",569
"691",270200,"00","white","l",160
"692",270300,"00","white","l",112
"693",271100,"00","white","l",476
"694",271200,"00","white","l",525
"695",271300,"00","white","l",448
"696",271400,"00","white","l",342
"697",271500,"00","white","l",430
"698",271600,"00","white","l",302
"699",271701,"00","white","l",961
"700",271702,"00","white","l",512
"701",271801,"00","white","l",568
"702",271802,"00","white","l",796
"703",271900,"00","white","l",766
"704",272100,"00","white","l",511
"705",272200,"00","white","l",808
"706",272301,"00","white","l",388
"707",272302,"00","white","l",682
"708",273100,"00","white","l",589
"709",273200,"00","white","l",461
"710",273300,"00","white","l",476
"711",273400,"00","white","l",1027
"712",273500,"00","white","l",913
"713",273700,"00","white","l",443
"714",273800,"00","white","l",551
"715",273900,"00","white","l",678
"716",274100,"00","white","l",407
"717",274200,"00","white","l",602
"718",275100,"00","white","l",325
"719",275200,"00","white","l",466
"720",275302,"00","white","l",429
"721",275311,"00","white","l",508
"722",275400,"00","white","l",247
"723",275510,"00","white","l",159
"724",275520,"00","white","l",35
"725",275601,"00","white","l",272
"726",276000,"00","white","l",546
"727",276100,"00","white","l",390
"728",276400,"00","white","l",354
"729",276500,"00","white","l",204
"730",276602,"00","white","l",1187
"731",277000,"00","white","l",524
"732",277100,"00","white","l",337
"733",277200,"00","white","l",203
"734",277400,"00","white","l",131
"735",278100,"00","white","l",358
"736",291110,"00","white","l",18
"737",291120,"00","white","l",14
"738",291130,"00","white","l",71
"739",291210,"00","white","l",59
"740",291220,"00","white","l",60
"741",291300,"00","white","l",119
"742",292000,"00","white","l",175
"743",293201,"00","white","l",332
"744",293202,"00","white","l",217
"745",293301,"00","white","l",168
"746",293302,"00","white","l",221
"747",293304,"00","white","l",191
"748",293305,"00","white","l",328
"749",294110,"00","white","l",90
"750",294120,"00","white","l",5
"751",294200,"00","white","l",208
"752",294300,"00","white","l",223
"753",294410,"00","white","l",196
"754",294420,"00","white","l",153
"755",294510,"00","white","l",55
"756",294520,"00","white","l",66
"757",294610,"00","white","l",83
"758",294620,"00","white","l",22
"759",294700,"00","white","l",102
"760",294810,"00","white","l",44
"761",294820,"00","white","l",50
"762",294830,"00","white","l",40
"763",294900,"00","white","l",36
"764",295101,"00","white","l",541
"765",296210,"00","white","l",113
"766",296220,"00","white","l",219
"767",296300,"00","white","l",451
"768",296400,"00","white","l",660
"769",296500,"00","white","l",210
"770",296600,"00","white","l",413
"771",296900,"00","white","l",980
"772",297000,"00","white","l",858
"773",297110,"00","white","l",332
"774",297120,"00","white","l",290
"775",297200,"00","white","l",1063
"776",297300,"00","white","l",299
"777",297500,"00","white","l",367
"778",297600,"00","white","l",1123
"779",300100,"00","white","l",345
"780",300200,"00","white","l",496
"781",300300,"00","white","l",452
"782",300400,"00","white","l",602
"783",300501,"00","white","l",379
"784",300502,"00","white","l",851
"785",300600,"00","white","l",1122
"786",300701,"00","white","l",453
"787",300702,"00","white","l",432
"788",300800,"00","white","l",860
"789",300901,"00","white","l",285
"790",300902,"00","white","l",219
"791",301000,"00","white","l",549
"792",301100,"00","white","l",973
"793",301202,"00","white","l",924
"794",301203,"00","white","l",686
"795",301204,"00","white","l",663
"796",301300,"00","white","l",135
"797",301400,"00","white","l",338
"798",301501,"00","white","l",70
"799",301502,"00","white","l",1144
"800",301601,"00","white","l",833
"801",301602,"00","white","l",446
"802",301701,"00","white","l",413
"803",301702,"00","white","l",797
"804",301800,"00","white","l",1056
"805",301900,"00","white","l",1318
"806",302001,"00","white","l",1291
"807",302002,"00","white","l",720
"808",302102,"00","white","l",888
"809",302103,"00","white","l",759
"810",302104,"00","white","l",457
"811",302201,"00","white","l",819
"812",302202,"00","white","l",803
"813",302301,"00","white","l",304
"814",302302,"00","white","l",555
"815",302400,"00","white","l",455
"816",302501,"00","white","l",1136
"817",302502,"00","white","l",780
"818",310100,"00","white","l",319
"819",310200,"00","white","l",1260
"820",310300,"00","white","l",187
"821",310400,"00","white","l",414
"822",310500,"00","white","l",232
"823",310600,"00","white","l",1158
"824",310701,"00","white","l",576
"825",310702,"00","white","l",1412
"826",310703,"00","white","l",879
"827",310800,"00","white","l",847
"828",310900,"00","white","l",823
"829",311000,"00","white","l",443
"830",311100,"00","white","l",427
"831",311200,"00","white","l",480
"832",311300,"00","white","l",547
"833",311400,"00","white","l",355
"834",311500,"00","white","l",819
"835",311600,"00","white","l",1499
"836",311700,"00","white","l",872
"837",311800,"00","white","l",795
"838",320100,"00","white","l",169
"839",320200,"00","white","l",287
"840",320300,"00","white","l",69
"841",400203,"00","white","l",293
"842",400204,"00","white","l",210
"843",400205,"00","white","l",104
"844",400206,"00","white","l",167
"845",400302,"00","white","l",254
"846",400303,"00","white","l",243
"847",400304,"00","white","l",742
"848",400402,"00","white","l",327
"849",400500,"00","white","l",119
"850",400602,"00","white","l",274
"851",400603,"00","white","l",393
"852",400604,"00","white","l",146
"853",400800,"00","white","l",386
"854",400900,"00","white","l",405
"855",401001,"00","white","l",181
"856",401002,"00","white","l",702
"857",401101,"00","white","l",776
"858",401102,"00","white","l",568
"859",401201,"00","white","l",246
"860",401202,"00","white","l",345
"861",401203,"00","white","l",469
"862",401302,"00","white","l",490
"863",401311,"00","white","l",872
"864",401312,"00","white","l",684
"865",401500,"00","white","l",535
"866",401601,"00","white","l",873
"867",401602,"00","white","l",596
"868",401603,"00","white","l",565
"869",401701,"00","white","l",621
"870",401703,"00","white","l",382
"871",401704,"00","white","l",451
"872",401800,"00","white","l",631
"873",401902,"00","white","l",1038
"874",402000,"00","white","l",591
"875",402101,"00","white","l",57
"876",402102,"00","white","l",154
"877",402200,"00","white","l",367
"878",402301,"00","white","l",187
"879",402302,"00","white","l",287
"880",402401,"00","white","l",153
"881",402402,"00","white","l",363
"882",402403,"00","white","l",310
"883",402501,"00","white","l",64
"884",402502,"00","white","l",50
"885",402600,"00","white","l",606
"886",402702,"00","white","l",171
"887",402703,"00","white","l",162
"888",402704,"00","white","l",294
"889",402801,"00","white","l",94
"890",402802,"00","white","l",139
"891",402901,"00","white","l",177
"892",402902,"00","white","l",67
"893",403000,"00","white","l",84
"894",403303,"00","white","l",91
"895",403304,"00","white","l",105
"896",403305,"00","white","l",25
"897",403312,"00","white","l",220
"898",403316,"00","white","l",438
"899",403317,"00","white","l",67
"900",403318,"00","white","l",178
"901",403319,"00","white","l",199
"902",403320,"00","white","l",100
"903",403321,"00","white","l",245
"904",403322,"00","white","l",140
"905",403323,"00","white","l",183
"906",403324,"00","white","l",165
"907",403325,"00","white","l",201
"908",403401,"00","white","l",123
"909",403402,"00","white","l",97
"910",403403,"00","white","l",30
"911",403404,"00","white","l",55
"912",403405,"00","white","l",7
"913",403406,"00","white","l",71
"914",403407,"00","white","l",8
"915",403408,"00","white","l",57
"916",403600,"00","white","l",400
"917",403702,"00","white","l",229
"918",403703,"00","white","l",308
"919",403721,"00","white","l",513
"920",403722,"00","white","l",387
"921",403801,"00","white","l",464
"922",403802,"00","white","l",617
"923",403901,"00","white","l",234
"924",403902,"00","white","l",567
"925",404000,"00","white","l",277
"926",404100,"00","white","l",177
"927",404200,"00","white","l",455
"928",404301,"00","white","l",140
